rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
271.46468977469067,2.163907036503589e-05,0.002168893814086914,16,1676,2237.7655722747277,80,71
183.06004491227787,2.205632988537491e-05,0.0019974708557128906,20,1762,2140.979065108007,83,77
192.21522880765087,2.6464486989828434e-05,0.001998424530029297,17,1689,2073.587938645818,84,75
58.98797872945647,4.5143052578545824e-05,0.0025148391723632812,19,1807,1819.9113900813504,80,84
135.9864939349303,5.200901626458683e-05,0.0019943714141845703,17,1595,1911.3084988606922,82,79
64.31773218671619,4.31016477122775e-05,0.0025107860565185547,20,1517,1679.531484456715,91,87
68.78299558516953,2.0628717675130922e-05,0.002998828887939453,18,1575,1679.0128672568335,84,86
212.3040416445419,2.0419559293677227e-05,0.002996683120727539,19,1651,2067.5770440003466,85,76
145.9269492786533,2.8869043672884412e-05,0.0019969940185546875,19,1639,2043.4632463017026,80,77
43.71487164259705,1.683288353569026e-05,0.001997709274291992,19,1734,1800.6416369006001,83,84
115.4198314710189,2.4679627841064716e-05,0.0019981861114501953,17,1755,1963.479031446761,81,77
108.83256114927248,4.4273157354507084e-05,0.003512144088745117,18,1644,1876.8831988346578,84,80
79.56203523979153,2.080167712239733e-05,0.001998424530029297,12,1731,1903.494705564741,77,75
149.46618260560157,5.451166615701105e-05,0.0019981861114501953,16,1751,2048.7568841614248,81,75
359.6222592522333,4.572746145948101e-05,0.001996755599975586,12,1620,2397.277993770443,74,64
49.03557098054234,1.587367510089692e-05,0.001999378204345703,15,1703,1780.1156483838747,78,80
32.956699984025576,2.579779979057594e-05,0.001998424530029297,14,1719,1659.057222388551,78,83
69.4075522422739,1.6817510992448755e-05,0.0019979476928710938,17,1643,1819.9563390329567,82,81
118.84098215740548,1.7331887766647197e-05,0.0025093555450439453,17,1695,1950.327028337368,82,76
105.2859276202166,1.84957206200999e-05,0.002999544143676758,17,1627,1913.4344088450953,82,79
171.00724602244205,1.6619917169385373e-05,0.002517223358154297,15,1605,2028.2352689515337,73,71
128.4010849823731,1.7041939397013738e-05,0.001995563507080078,13,1717,1584.5612529568511,82,85
210.0672231453609,2.2710898838612184e-05,0.001505136489868164,12,1615,2106.2068004342523,75,69
77.6184680416459,8.22238919699971e-05,0.001995086669921875,12,1740,1847.7750534303073,77,75
95.63462686966841,7.492324606032038e-05,0.003513813018798828,14,1567,1825.6059683919452,80,78
