rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
7310.285387219958,2.968480466818697e-06,0.03594613075256348,7,16979,562.2919183081619,84,14
7422.810830275595,2.5774532987625076e-06,0.004071712493896484,7,17255,682.9928295942454,84,16
7352.823679382054,2.3920289271163604e-06,0.003543376922607422,7,16979,643.0556129369809,83,16
7310.340531801054,2.3289334142558774e-06,0.0029990673065185547,7,16949,604.9657071809546,85,16
7294.645433111553,1.931507600403356e-06,0.0034987926483154297,7,17019,659.676274571535,83,16
7309.884898992173,1.8357761946319744e-06,0.003648042678833008,7,17136,658.4635112495184,84,16
7243.445630451253,1.8837976374640204e-06,0.004211902618408203,7,16919,692.7382181530387,85,17
7354.030068169567,2.154090359535816e-06,0.004797697067260742,7,17239,706.396941796214,81,16
7309.473719605485,2.0919748373625696e-06,0.003496885299682617,7,17142,627.5604747730663,84,16
7301.963600646952,2.138821736595773e-06,0.003509521484375,7,17103,678.3983716266429,83,15
7254.753361070854,2.050818487326825e-06,0.0034983158111572266,7,16792,776.8772098578783,83,16
7365.381430737395,2.1261968568035934e-06,0.003999471664428711,7,17232,766.7324894422327,79,16
7385.3452956291485,2.1498698592754534e-06,0.003543853759765625,7,17247,752.0501304723173,82,15
7337.255125192494,1.951674761409835e-06,0.004151821136474609,7,17079,774.7160292172555,82,16
7322.14641533895,2.2832374296778785e-06,0.004508018493652344,7,17258,829.7120044897906,81,16
7359.950932488753,2.20654962946929e-06,0.00641632080078125,7,17176,825.1016421373237,81,17
7273.55437893521,3.726333026674733e-06,0.0035147666931152344,7,16812,813.1681404206112,81,17
7323.816527519103,1.9965148653049864e-06,0.004010200500488281,7,17085,780.1957300501812,80,15
7400.899700477862,2.3437566392348207e-06,0.004515171051025391,7,17470,790.52492828404,80,17
7307.861436050482,1.9163843510492495e-06,0.0036334991455078125,7,17034,807.1680558053424,78,16
7348.776688451029,2.934984550897076e-06,0.0037767887115478516,7,17342,897.6262770088105,77,15
7298.394148085516,2.5840047056057202e-06,0.004007816314697266,7,16978,894.0189743843853,79,16
7376.24489339431,3.1588018328559683e-06,0.004018068313598633,7,17234,939.0799157129951,78,16
7339.427516886952,8.334280100797301e-06,0.0030183792114257812,7,17138,910.139487893503,78,16
7293.018388162488,2.3069016077844405e-06,0.0036516189575195312,7,17003,948.7661646460493,79,16
7365.411671316337,8.564631870280397e-06,0.003618478775024414,7,17410,887.6995798567888,76,15
7282.850873854699,2.511931798773899e-06,0.004035472869873047,7,16790,907.9886287087968,76,16
7397.852845645959,2.4655646559813486e-06,0.0035326480865478516,7,17363,916.4668681716963,79,16
7276.64908096735,1.8746518706750737e-06,0.0032951831817626953,7,16915,907.3221211877151,77,16
7351.384406586646,2.3446034477428283e-06,0.0040225982666015625,7,17243,896.950345535101,78,15
7241.483114395777,2.651133152966708e-06,0.003523111343383789,7,16676,964.4612401356263,78,15
7383.49592750982,2.315786077048162e-06,0.0037021636962890625,7,17545,1098.1734117607814,74,16
7317.796451285268,2.2995180790116994e-06,0.003966093063354492,7,17124,994.5785623142998,79,16
7209.652154940992,2.366237821307365e-06,0.0034973621368408203,7,16713,941.7681779289554,78,16
7310.374239765426,2.0039202428647515e-06,0.003106355667114258,7,17236,1041.1582117102505,76,17
7325.780887274503,2.3399859295797116e-06,0.003591299057006836,7,17033,1064.1580113335997,78,16
7341.818044548329,2.199870027492267e-06,0.0035173892974853516,7,17156,1029.2750023939052,77,15
7328.149039668671,2.249659830201631e-06,0.002498149871826172,7,17245,1052.6225420829937,77,16
7318.357762203063,3.4746334503787196e-06,0.0050201416015625,7,17232,1083.869552657032,76,16
7311.425245314501,2.123036139147636e-06,0.0034973621368408203,7,17220,1116.8094226904027,76,16
