rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
3356.2955768412617,5.460778175882567e-06,0.04044604301452637,7,16979,20516.003457039464,84,68
3448.238554851022,5.52804949069449e-06,0.006517648696899414,7,17255,20791.05469351285,84,66
3460.1452963346946,5.3711705035728e-06,0.005699634552001953,7,16979,20718.57678756435,83,67
3291.6139935179785,5.839170214472086e-06,0.006766080856323242,7,16949,20578.672194553976,85,68
3380.4057306825034,5.790230108187667e-06,0.006402730941772461,7,17019,20748.504326675342,83,67
3275.2222664229394,5.835765727733414e-06,0.005466938018798828,7,17136,20710.526462964346,84,67
3487.445076287553,5.734642457595121e-06,0.009567737579345703,7,16919,20812.571522698836,85,66
3091.4562250436993,5.5837329791069674e-06,0.0052835941314697266,7,17239,20900.787419071912,81,66
3353.9435223146857,5.818596261280835e-06,0.005562543869018555,7,17142,20581.124294528116,84,67
3385.1392467076685,5.675335881564732e-06,0.00682830810546875,7,17103,20905.096006249067,83,66
3578.498032491598,5.7806089063147685e-06,0.0064661502838134766,7,16792,21060.204014909013,83,65
3231.120074422293,5.7966728643237815e-06,0.0060040950775146484,7,17232,21035.184153758128,79,65
3203.7954311332423,5.790443498164962e-06,0.00883030891418457,7,17247,21037.753495834393,82,65
3246.8183096264756,5.874136541361712e-06,0.006000041961669922,7,17079,21074.15473038554,82,65
3265.45824679148,5.586433745746111e-06,0.0057849884033203125,7,17258,21227.038299580643,81,64
3579.8338355524884,5.4680057162373894e-06,0.005557060241699219,7,17176,21172.618734677766,81,64
3417.720299349068,5.818047995362507e-06,0.006504535675048828,7,16812,21095.7320097113,81,64
3458.970800593104,5.752098920855524e-06,0.005635976791381836,7,17085,21162.884712952236,80,64
3097.474439597123,5.520002984816267e-06,0.005149364471435547,7,17470,21088.882535994584,80,65
3367.841888212728,5.82351832851084e-06,0.006197929382324219,7,17034,21101.507886061205,78,64
3269.818542268528,5.84369877969545e-06,0.0058138370513916016,7,17342,21390.479719010196,77,63
3343.495192000508,5.499527012720519e-06,0.006228446960449219,7,16978,21315.886052574268,79,63
3302.986613197371,5.873630073124187e-06,0.006040096282958984,7,17234,21463.312248625618,78,62
3403.956158369082,8.29861533928231e-06,0.005648612976074219,7,17138,21413.129641700296,78,62
3293.1754689720437,5.438193722437467e-06,0.006380558013916016,7,17003,21456.04653570955,79,62
3145.7681451447143,8.972679223543435e-06,0.0064160823822021484,7,17410,21344.62489476842,76,63
3336.760411528945,5.654628066615666e-06,0.005507946014404297,7,16790,21340.56348879939,76,63
3158.7317700301815,5.898496564395729e-06,0.005035877227783203,7,17363,21377.42006772472,79,63
3163.4527966547557,5.840654591421717e-06,0.006370067596435547,7,16915,21405.14726929742,77,62
3161.5859497439956,5.694979008270935e-06,0.006867408752441406,7,17243,21369.262659329765,78,63
3326.980632881755,5.454284371356214e-06,0.006372928619384766,7,16676,21511.24308608585,78,62
3173.815157200887,5.716729016496654e-06,0.00763702392578125,7,17545,21727.40959793128,74,60
3208.8148794068206,5.804717140877259e-06,0.006461620330810547,7,17124,21511.93792160033,79,62
3204.930117835656,5.8096425568380925e-06,0.0053484439849853516,7,16713,21387.443584305885,78,62
3125.212620159285,5.95559962041489e-06,0.02794504165649414,7,17236,21495.89704926481,76,62
3387.7850112733827,5.676664616523016e-06,0.006160736083984375,7,17033,21677.075276846597,78,61
3250.58967838629,5.744206809615712e-06,0.006429195404052734,7,17156,21666.51236597512,77,61
3370.2981036488936,5.576915969254412e-06,0.010342121124267578,7,17245,21692.255853768904,77,61
3248.462179405447,5.527213634783257e-06,0.006517171859741211,7,17232,21701.811121700717,76,61
3361.0527749415746,5.699375885455999e-06,0.00468897819519043,7,17220,21730.019224573523,76,60
3192.9796017111644,5.82791029565169e-06,0.005625486373901367,7,16937,21865.269493146956,75,59
