rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
3981.297587026195,4.3532071441614036e-06,0.0050506591796875,7,16979,7815.377642100757,84,75
3419.177761359682,4.479975078098237e-06,0.005001544952392578,7,17255,9402.196729028557,84,74
3250.827225646154,4.306073342933851e-06,0.004550457000732422,7,16979,9640.017397078838,83,75
3516.887315891025,4.668626820368316e-06,0.004683017730712891,7,16949,8835.655754518002,85,75
2938.588315572584,4.683776849699595e-06,0.005255699157714844,7,17019,10225.774178089305,83,75
2838.8147229569845,4.733948147341808e-06,0.0050318241119384766,7,17136,10436.811779340622,84,75
2453.4177219468597,4.755583566058769e-06,0.0046536922454833984,7,16919,11467.644150465514,85,75
2588.7052091887463,4.628284819974039e-06,0.005521059036254883,7,17239,11061.352923417855,81,74
4082.1597565812617,4.518703006878663e-06,0.005040407180786133,7,17142,7611.42170563726,84,74
2417.9527814176013,4.739378251129697e-06,0.005306720733642578,7,17103,11614.721060261512,83,74
2494.018703102008,4.698848127630038e-06,0.004645109176635742,7,16792,11506.762682080616,83,73
2621.980080903738,4.669424770709221e-06,0.004508256912231445,7,17232,11132.447395311174,79,73
2583.4304650429717,4.690957039977725e-06,0.004521608352661133,7,17247,11258.599507329849,82,73
2604.4600848648633,4.717491214236421e-06,0.005495548248291016,7,17079,11114.721291312397,82,73
1922.6356037451094,4.663660660659287e-06,0.00504612922668457,7,17258,13132.802940065187,81,71
2379.391765360338,4.496972766945809e-06,0.004893064498901367,7,17176,12166.938742461536,81,72
2358.416923845398,4.925957948987779e-06,0.005278825759887695,7,16812,11784.166043561583,81,73
2710.625146693799,4.6889002478014675e-06,0.005005598068237305,7,17085,10956.149374519431,80,72
2128.929270357816,4.625964074355569e-06,0.004025697708129883,7,17470,12482.386220852664,80,73
2867.908037603865,4.701756642653001e-06,0.004510164260864258,7,17034,10454.126668130391,78,73
2157.630761553208,4.895274442561026e-06,0.004707813262939453,7,17342,12439.518830635754,77,70
2946.334560717533,4.366958188440776e-06,0.004500150680541992,7,16978,10261.277026261894,79,71
2479.108272131568,4.914782214249181e-06,0.003863096237182617,7,17234,11631.673095000782,78,70
2248.2328508259825,7.95986606262292e-06,0.0045223236083984375,7,17138,12294.650355754477,78,70
1832.4567593404229,4.542184270461385e-06,0.004878520965576172,7,17003,13384.941852677415,79,70
2480.432389532937,8.55690619322499e-06,0.004011869430541992,7,17410,11477.145681949127,76,71
2294.273763342496,4.639832519489122e-06,0.004464626312255859,7,16790,11922.168183032418,76,71
2220.863161423162,4.81347019972743e-06,0.004126787185668945,7,17363,12293.640319244218,79,71
2542.864491782853,4.728351574785187e-06,0.0042722225189208984,7,16915,11079.29435123116,77,71
2562.798606735297,4.597206070690445e-06,0.0049173831939697266,7,17243,11238.580169366895,78,71
2587.6890068925277,4.367546641671883e-06,0.006463527679443359,7,16676,11016.107048984573,78,70
1806.1053116435796,4.7512969703082755e-06,0.005305767059326172,7,17545,13603.082695088095,74,68
2511.163105605495,4.661224913726852e-06,0.005984306335449219,7,17124,11346.50691812862,79,70
2627.986194517812,4.618613245793687e-06,0.005003690719604492,7,16713,10770.739313079344,78,70
2919.511047094924,4.668649471254959e-06,0.004503011703491211,7,17236,10294.524864969739,76,69
1913.3046350163995,4.6922514816314245e-06,0.004906415939331055,7,17033,13387.740169640505,78,68
1976.5603077343667,4.688626670008412e-06,0.004817485809326172,7,17156,12967.746170076529,77,69
1948.2748433013714,4.631592767212047e-06,0.003998994827270508,7,17245,13214.563523032988,77,68
2275.843456324987,4.645197455716967e-06,0.0055332183837890625,7,17232,12023.513373807233,76,69
1935.1108107232476,4.708940463802743e-06,0.004997968673706055,7,17220,13214.397775251446,76,68
1777.0758469520733,4.777419009488411e-06,0.005323648452758789,7,16937,13362.906299578597,75,67
2090.7006696720077,4.724117883827247e-06,0.0045087337493896484,7,16941,12472.0536060161,74,68
1921.3606692188512,4.73951880841612e-06,0.004859447479248047,7,17296,13291.638191441567,77,67
1916.4012522847327,4.750091530709066e-06,0.004496335983276367,7,17317,13145.771189560986,77,67
2197.6607755825403,8.518256610500532e-06,0.004165172576904297,7,17022,12195.249017301912,77,68
2010.9962977950952,4.5913995858512015e-06,0.004683732986450195,7,17095,12814.557673533487,74,68
2164.315729972979,4.527176870897219e-06,0.0050160884857177734,7,16954,12323.494956780756,74,68
2420.7839503826713,4.703913748881004e-06,0.0060002803802490234,7,17093,11557.880803959057,76,68
1717.7046286529596,4.800952074835999e-06,0.0042264461517333984,7,17104,13586.731510224348,74,67
2181.3409275514164,5.030284603980002e-06,0.0046770572662353516,7,17115,12204.260241513359,73,68
2263.985249569101,4.7154044624987305e-06,0.00489354133605957,7,17106,12026.019580110911,71,66
1545.7610187027249,4.787969680128814e-06,0.004526376724243164,7,17307,14466.342967462579,72,65
1843.05165682913,4.762376847330873e-06,0.005496025085449219,7,17008,13249.422603224524,75,66
1969.6791012144192,4.7021024628274395e-06,0.004951000213623047,7,17271,12794.4670750734,72,67
2292.331396732068,4.638949845811364e-06,0.0015020370483398438,7,16975,11903.94353664369,74,66
1737.128913584768,4.623568258784738e-06,0.004187822341918945,7,16823,13625.022640957479,73,66
1434.7264694066644,4.842353376665703e-06,0.0052721500396728516,7,17280,14551.83877842349,73,65
2055.328050658306,4.760296917353943e-06,0.004498720169067383,7,17042,12587.673969073518,73,66
2482.685557675408,4.582844803296364e-06,0.004640817642211914,7,16998,11390.977976695574,74,67
1738.6904925876013,4.669072335479216e-06,0.0043201446533203125,7,17232,13826.154909495503,70,65
899.824364386583,7.884874772479134e-06,0.004501819610595703,7,20228,17947.503200136733,73,68
1379.0134309539485,3.343469168861052e-06,0.005000114440917969,7,20845,16728.65107316601,71,70
1255.2937614575037,2.3041986014572324e-06,0.004210233688354492,7,20783,17054.671622445996,71,69
816.0143506106288,5.148365067762725e-06,0.00428318977355957,7,20465,18393.164947326295,71,68
1696.5728914537183,4.890737688165603e-06,0.004509925842285156,8,20768,15563.149695696762,71,70
879.6786780503937,7.909173881253276e-06,0.0040895938873291016,7,20814,19500.380406953496,72,66
