rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
625.9192794840754,1.8738084702944233e-05,0.0020041465759277344,19,1804,806.2253645835804,84,55
581.6952771760036,3.2332396479060176e-05,0.003003358840942383,15,1647,959.7443118931387,82,50
567.0761015538745,4.437656299689074e-05,0.002504587173461914,16,1680,937.7174210218828,84,53
545.999842483113,2.1536895185537776e-05,0.0029993057250976562,15,1623,796.5817897629972,84,54
602.3305706603381,1.833460713224041e-05,0.0025072097778320312,21,1731,686.3943739241192,92,61
568.8081487540998,2.0094538981893795e-05,0.0030007362365722656,18,1710,761.1763706282339,84,57
571.4913640667539,2.447039779507434e-05,0.0029993057250976562,18,1748,825.2104231352123,82,54
596.7419394296672,1.7840044479455616e-05,0.0019991397857666016,20,1770,690.4295713579961,81,60
588.6154800063975,4.4119287044652156e-05,0.002999544143676758,19,1725,719.1198063988804,85,59
575.7704183085444,2.0622339859070625e-05,0.002000570297241211,21,1648,854.6095547606144,89,58
550.5109213887121,8.449156406480478e-05,0.0019989013671875,16,1659,620.3894781466842,84,58
578.3674761875332,1.988474955149661e-05,0.0019998550415039062,19,1680,951.6976821406105,86,54
591.0649516275043,1.6725651884287897e-05,0.0030052661895751953,20,1675,818.5288893570661,82,56
577.5702991317552,1.6943416930082093e-05,0.0025048255920410156,24,1748,541.1972454500509,87,62
590.2121995751829,8.453410397660414e-05,0.0029990673065185547,17,1783,959.5129363698661,80,52
597.8366083661874,1.895748788080635e-05,0.0030095577239990234,17,1738,852.270251833064,86,53
606.1322217790295,1.5184424486006992e-05,0.0029997825622558594,25,1653,496.9762719202451,88,64
582.5787021789421,9.747353218036345e-05,0.0020704269409179688,14,1745,926.0329008842668,81,51
577.6801044978878,2.2199956435073456e-05,0.0033464431762695312,19,1791,853.3511364201669,84,55
550.0100566688513,2.2039443474360286e-05,0.0030045509338378906,19,1671,707.0419534668898,78,57
575.423645057384,1.5971473215612962e-05,0.0020036697387695312,21,1662,714.0813477938505,88,59
582.0345920583891,5.487172180628316e-05,0.004422187805175781,22,1707,741.3388526787943,84,59
576.3486858045745,1.968922694900098e-05,0.0035200119018554688,17,1723,765.1900703563651,81,56
571.182284723352,4.560108366000407e-05,0.0035049915313720703,18,1655,792.9508678809837,78,56
624.0994630224751,2.0304732553668453e-05,0.0019996166229248047,15,1729,781.3537573227529,81,53
613.1819249628705,1.3777040321738966e-05,0.002506256103515625,24,1680,458.9769054333287,87,66
586.803759850455,2.8324103027462587e-05,0.002271890640258789,16,1707,907.5639608803874,82,52
616.6532011775632,2.533220327448729e-05,0.002004861831665039,15,1745,1097.9406764997048,78,49
591.9876237771034,6.203645822411637e-05,0.0020003318786621094,16,1781,984.1407869648147,74,51
583.9170115474819,1.636923964909512e-05,0.003015756607055664,20,1692,662.0429549516482,85,59
578.9254953415265,1.7908273019128422e-05,0.0020003318786621094,18,1654,806.922008452884,83,56
537.339560078288,2.347945350649535e-05,0.001998424530029297,17,1621,658.685642047766,85,57
575.995344250978,1.5511342707011154e-05,0.0030317306518554688,21,1691,499.30754562922465,84,62
654.4332722524246,0.00011480218686730108,0.002000093460083008,12,1635,1504.413984128716,74,43
588.96957370698,2.82925597780766e-05,0.0025043487548828125,16,1764,787.7552961090685,78,56
568.9396805988988,2.189081792469926e-05,0.003284931182861328,22,1706,837.6658556038623,83,57
618.4814753491804,1.9045182152193724e-05,0.003009319305419922,20,1752,704.6586541651398,90,59
560.4446687199958,5.2810287194014214e-05,0.0025110244750976562,16,1668,827.9842972572835,86,55
595.8484672575009,1.5716009670465285e-05,0.0035059452056884766,19,1733,612.2895186400331,86,58
602.7502889018128,2.7904639334180556e-05,0.003000020980834961,16,1807,1059.052813210987,78,49
559.0506735473699,1.8157373664054877e-05,0.0030007362365722656,10,1719,707.731137515263,79,52
582.6045204913748,5.205688801308552e-05,0.001999378204345703,12,1649,1148.9323022925262,80,46
568.87660433201,2.155591331617443e-05,0.0029993057250976562,16,1753,646.9809847301185,76,55
562.9480259827915,1.8311449949781506e-05,0.0025064945220947266,12,1764,743.6243358290048,79,53
556.7161904531628,2.811213487848476e-05,0.0029981136322021484,19,1645,722.5189662409157,85,56
