rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
660.4512476864181,1.6714355606122737e-05,0.007304191589355469,19,1804,414.32145495615663,84,57
575.4561133662779,3.210720452231749e-05,0.007511615753173828,15,1647,906.0146098361429,82,51
589.5728724427499,4.485361767372617e-05,0.006011247634887695,16,1680,1092.9433224474265,84,51
560.6850357462821,1.9360612403979206e-05,0.006518363952636719,15,1623,411.5663208834386,84,58
608.0386462849627,1.7230951982659105e-05,0.008513212203979492,21,1731,511.54126357152404,92,63
566.2544375325157,1.9314733115808662e-05,0.006002902984619141,18,1710,652.4598380913737,84,58
581.8019201644805,2.2877087136316627e-05,0.011507749557495117,18,1748,508.0391948723247,82,57
606.5504661965355,1.7101483035179205e-05,0.006001472473144531,20,1770,548.9038816583836,81,61
599.4465676751474,4.451221827165643e-05,0.006007194519042969,19,1725,868.6494362323832,85,57
622.1406399531187,2.3219797707324826e-05,0.005997657775878906,21,1648,1184.2704858674008,89,54
566.7612495577296,8.440288019153416e-05,0.00904226303100586,16,1659,464.8537853507246,84,59
580.5818374866661,2.0056871166479266e-05,0.007004737854003906,19,1680,971.117621235652,86,54
595.4092358844646,1.722242880130356e-05,0.0075092315673828125,20,1675,874.7753663949046,82,55
576.1690485628188,1.7020742228168354e-05,0.007511138916015625,24,1748,553.0247807971939,87,62
590.6093176815833,8.423633155798297e-05,0.006513357162475586,17,1783,551.4036946147899,80,56
590.2060897545072,1.7532977921489657e-05,0.006501197814941406,17,1738,690.2799175470235,86,55
650.0521309727225,1.4193721163880984e-05,0.0055086612701416016,25,1653,321.8252090986219,88,62
625.0797972183688,9.76698864442391e-05,0.008525848388671875,14,1745,1210.9368045540584,81,48
570.9884350437461,2.1281572341049115e-05,0.007509708404541016,19,1791,706.9914314776805,84,57
550.8888725214638,2.230180596235447e-05,0.006507396697998047,19,1671,755.3274449236674,78,57
616.1726472458956,1.3701828255369945e-05,0.006003379821777344,21,1662,384.50497766467805,88,59
614.7840003685484,5.467941579647315e-05,0.005996227264404297,22,1707,395.3781798569446,84,61
579.2561549658021,2.004558040472539e-05,0.007506132125854492,17,1723,811.4697780589256,81,55
650.8526002576667,4.491383421853287e-05,0.006511688232421875,18,1655,238.39908954642425,78,48
702.4083069236399,1.746720813713072e-05,0.0065155029296875,15,1729,259.3794057679403,81,49
626.5192367860452,1.848613463764676e-05,0.00751948356628418,24,1680,1036.9604389788087,87,59
588.13866660803,2.6759257429411164e-05,0.008546113967895508,16,1707,477.74109671588985,82,57
586.6547274701624,2.353518728863231e-05,0.00650787353515625,15,1745,851.7935649039077,78,52
682.6691596735003,6.331476038746653e-05,0.0065155029296875,16,1781,1520.9726231897291,74,46
594.8538929196501,1.5375206647513047e-05,0.007007122039794922,20,1692,519.8028922935318,85,60
693.4583025133412,1.34607113471371e-05,0.006501913070678711,18,1654,190.58773079176967,83,27
586.1801776770249,2.2753005966763762e-05,0.008511066436767578,17,1621,321.32293134392677,85,58
641.2120360671815,2.215057069721114e-05,0.00651097297668457,21,1691,1283.0665109411036,84,53
643.5805634885228,0.00011522072754772359,0.0060079097747802734,12,1635,200.7074572321524,74,35
698.3601019292673,3.226567870295423e-05,0.005513429641723633,16,1764,1496.161596900365,78,47
575.618659943516,2.006663125999225e-05,0.00652623176574707,22,1706,556.9957536465433,83,60
651.7790781127131,2.116371082136787e-05,0.007008552551269531,20,1752,1028.6347109861629,90,55
576.6010440099706,5.252886614939864e-05,0.006503105163574219,16,1668,400.8998068884666,86,60
593.5722736729842,1.613390989628559e-05,0.006504058837890625,19,1733,662.4152904649127,86,58
707.6772157149047,2.388078284284598e-05,0.007512092590332031,16,1807,213.6544589142571,78,20
573.3866924537872,1.6537144096534436e-05,0.007512807846069336,10,1719,465.6405974487976,79,56
547.7592170305654,5.098330143308387e-05,0.006997823715209961,12,1649,503.5451399380087,80,53
713.8142688198413,1.964821418509584e-05,0.005501985549926758,16,1753,194.67644048663726,76,20
634.3209694548337,2.295932583599826e-05,0.0075151920318603516,12,1764,1259.504447574688,79,46
615.4825082410435,2.6800517649249773e-05,0.00652313232421875,19,1645,311.336692982332,85,53
750.8053669120491,1.290328491927894e-05,0.006009578704833984,14,1727,190.69161611415396,77,17
620.9576033312113,1.4148001772828338e-05,0.005997896194458008,20,1687,305.82596777038225,88,57
591.6011163346554,2.5193236696561752e-05,0.006003379821777344,16,1695,973.5343722990658,79,53
726.8012881378393,1.785028306196118e-05,0.005008697509765625,14,1725,175.60536771048405,82,26
554.768414847428,2.1946574226700176e-05,0.007511138916015625,19,1720,729.5657867359139,84,58
608.7863658126062,2.9435598249193875e-05,0.0070037841796875,17,1779,760.7478528560247,83,54
572.9691086965031,5.1725461893175194e-05,0.0059969425201416016,14,1700,460.8179121319098,78,54
765.2524705078737,1.9696529311748707e-05,0.007004976272583008,14,1721,182.31145724420927,75,17
703.9099101662265,2.8984161618452412e-05,0.0059967041015625,15,1789,191.56781065404272,76,22
640.2237251496726,2.221246983371327e-05,0.006247758865356445,16,1808,1191.9219164464907,80,49
576.4521784200517,1.876022733746454e-05,0.006535053253173828,15,1638,418.82236500829333,79,57
644.1278983721452,5.213260011316647e-05,0.006505727767944336,14,1758,1296.7591711312384,82,47
566.9583627443404,1.6282911766398995e-05,0.0065004825592041016,16,1660,574.0238997772805,82,55
632.6265579102119,3.154898787730404e-05,0.0055081844329833984,16,1755,1294.4078242041373,78,48
559.8684049665251,4.131371531629664e-05,0.007509946823120117,13,1656,517.7676732689208,78,55
