rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
7341.239366084124,2.367179971304018e-06,0.0025098323822021484,10,17038,801.677243736847,86,21
7299.254364490016,1.892455028409799e-06,0.0029973983764648438,10,17002,746.4172388042982,84,20
7319.907315793469,2.0273891475608637e-06,0.0025026798248291016,10,17039,816.9073581291855,84,21
7438.444240315807,2.4753618903948276e-06,0.002997875213623047,10,17255,803.4917329449803,83,20
7387.379509362374,2.3233859988378917e-06,0.003997087478637695,10,17154,771.1995939629852,84,19
7311.506075714179,2.195118542556984e-06,0.0035102367401123047,10,16956,856.1616871402899,82,22
7288.688069580022,2.187304757313639e-06,0.0050013065338134766,10,16756,790.5355061123872,85,20
7341.130646372676,2.1952293012132728e-06,0.003998756408691406,10,17033,816.3232746403312,83,21
7295.160084897951,2.09952971452521e-06,0.002997159957885742,10,16937,801.2213386453819,84,19
7418.175646201018,2.0074855446318776e-06,0.0034821033477783203,10,17443,807.2967794196737,85,19
7302.406087834188,2.1616115612528454e-06,0.0029952526092529297,10,16882,767.5480082131436,82,18
7320.868549398116,2.588732020294298e-06,0.0029828548431396484,10,17065,792.4506444923376,83,20
7375.815870503416,2.0025008499945487e-06,0.0029952526092529297,10,17066,724.6266769172065,83,18
7365.210182047939,2.2837478166268824e-06,0.0029952526092529297,10,17127,773.3074730010808,83,20
7387.854409497785,2.572168161790303e-06,0.002505779266357422,10,17152,802.1445830331614,81,20
7342.704788300106,1.93308935157057e-06,0.0029952526092529297,10,16967,790.7612116466352,82,19
7361.249347418779,2.2434258015881952e-06,0.0035142898559570312,10,17076,758.7707106696124,83,20
7334.384547091225,2.403946724476238e-06,0.002996683120727539,10,17204,826.3115327748742,83,20
7345.9583515608365,2.7336619123188983e-06,0.0020880699157714844,10,17095,827.738642488428,83,20
7383.337495015154,1.850026044869903e-06,0.0030062198638916016,10,17110,851.9536333944316,86,20
7350.956804502268,1.910619448545878e-06,0.002996206283569336,10,16832,805.8738130515419,85,21
7295.22805468961,2.5741015432225438e-06,0.00350189208984375,10,16906,760.1553440176752,84,20
7314.927429260689,2.0465490654713232e-06,0.0029952526092529297,10,17008,920.8760658257888,84,22
7246.461347577548,2.4359399433568554e-06,0.002512216567993164,10,16777,793.7767411181378,84,21
7357.761242667828,2.3575724850558247e-06,0.0035047531127929688,10,17113,824.1782723248072,83,19
7383.748733054807,1.971635243068309e-06,0.0029947757720947266,10,17028,812.0662427685097,85,21
7300.105375559531,2.200236852705769e-06,0.002489328384399414,10,17005,808.092611058862,85,20
7327.961715419577,2.41812458461667e-06,0.0029959678649902344,10,17113,835.6725503124956,83,19
7360.178832626927,1.8681481579901413e-06,0.003006458282470703,10,17071,797.3236023609884,83,20
7299.9791624344825,2.910951968329345e-06,0.002997159957885742,10,16980,836.567874868158,84,21
7364.191745099408,2.5116270102229117e-06,0.002995014190673828,10,17183,846.5757768201577,79,19
7309.863072894429,2.5633864192192446e-06,0.003502368927001953,10,16875,807.8922667404116,84,21
7343.597877765747,1.9403841785879693e-06,0.0029952526092529297,10,17035,868.8786896825443,82,21
7399.3882036981295,2.703069484696512e-06,0.0035126209259033203,10,17290,924.3795820211882,83,22
7356.345649324021,1.9637082534210145e-06,0.0029969215393066406,10,17048,825.8845018407332,82,20
7329.945832317921,2.2521808272024606e-06,0.0035119056701660156,10,17105,876.0716852826494,80,20
7321.98522953687,2.563863354712025e-06,0.004159450531005859,10,16872,788.819900228719,82,19
7350.865774685834,2.2654168240447953e-06,0.003994941711425781,10,16943,813.084250460252,85,20
7390.192430858637,2.6092517811136448e-06,0.002996683120727539,10,17224,813.9814727021824,83,21
7277.489079546353,2.073187863573541e-06,0.002505779266357422,10,16861,765.2725390459879,84,20
7336.755281770657,2.1943417541092697e-06,0.0029952526092529297,10,17064,927.6424715178266,83,21
7379.736091280589,2.225155293954755e-06,0.003509998321533203,10,17110,997.9353690725918,80,20
7381.206633677676,2.285552764883767e-06,0.0029952526092529297,10,17193,941.2911383310392,80,19
7337.382401125577,2.3200336121012325e-06,0.003048419952392578,10,16855,980.9959943658887,81,20
7374.091115237797,1.9088061234901938e-06,0.0029952526092529297,10,16999,922.9660057165756,81,20
7325.981517270539,1.8287108801611339e-06,0.0029964447021484375,10,17037,974.6465977781892,82,19
7288.6146730921355,8.206995216440285e-06,0.0035135746002197266,10,16889,982.3065281250978,82,20
7353.740918914404,2.0653373421173925e-06,0.0029969215393066406,10,17135,955.3248012880834,82,21
7331.886843890794,2.2760731587222277e-06,0.003099679946899414,10,17184,970.1403938593498,80,21
7311.862645386664,2.4445745238240604e-06,0.0029981136322021484,10,16998,934.8222018578126,82,20
7382.98187998499,2.9869594620573793e-06,0.002998828887939453,10,17202,1004.4039101667335,79,20
7295.0670562326495,2.1947019004255917e-06,0.002996683120727539,10,17015,960.1947124569609,81,21
7369.218187324419,1.7449191673834338e-06,0.0031511783599853516,10,17207,1021.1916697505098,78,21
7364.773813182941,3.2265168248209486e-06,0.003513813018798828,10,17315,969.7954536075657,79,20
7233.687826865097,2.406008674694052e-06,0.0029954910278320312,10,16865,1117.4567545389327,81,23
7306.808557437947,3.005782061995677e-06,0.0030066967010498047,10,17002,974.7443358502142,82,19
7276.154997947045,2.103264892834258e-06,0.0035042762756347656,10,16811,917.2176896470004,82,19
7304.656283304538,2.2606540264575953e-06,0.0029993057250976562,10,16966,1020.6853967580702,81,20
7337.515733574659,2.8332952706416178e-06,0.002996683120727539,10,17040,1032.1682789466859,81,21
7291.544935370354,2.3025573106284766e-06,0.0029959678649902344,10,16869,970.3122576190814,81,20
7348.021268259183,2.3332088416093383e-06,0.0029942989349365234,10,17302,965.3140101824339,81,20
7356.819261133741,2.122976646135377e-06,0.002996683120727539,10,17086,962.761285449926,82,20
7348.43918704202,2.178844029188074e-06,0.0029952526092529297,10,17074,922.6406367565837,80,20
7316.45049600134,2.030979740653133e-06,0.002513408660888672,10,17063,1011.3596788080793,80,21
7345.576373427512,2.8559725499794213e-06,0.002996683120727539,10,17170,977.5992735485873,81,19
7333.981601070714,2.3034250285262662e-06,0.002993345260620117,10,16934,850.1729545269816,83,19
7343.652621162581,1.8763834620957508e-06,0.0029959678649902344,10,16959,956.9494206101499,80,20
7337.023411812443,1.975378872371628e-06,0.002995014190673828,10,17080,854.73208477388,84,19
7382.138546394472,2.2130025477777578e-06,0.0025048255920410156,10,17226,970.1110243345713,80,20
7297.287367254843,2.113817787274991e-06,0.0035157203674316406,10,16899,1043.5844596680556,80,21
7343.676531682167,6.229316105601918e-06,0.002523183822631836,10,17076,967.2783411127458,80,20
7316.75524405765,2.3116889402212687e-06,0.003997802734375,10,17154,1018.1493119960685,80,20
7331.012568352247,3.115886071792249e-06,0.002997159957885742,10,16939,975.1762158027624,79,19
7356.4105573219595,2.107454973868646e-06,0.0030057430267333984,10,17164,977.2380719922503,79,19
7393.435910328853,2.0449356565124264e-06,0.002995014190673828,10,17434,962.2230316965173,82,21
7425.0572814999905,1.8947985197194112e-06,0.002995729446411133,10,17202,909.1305470848089,82,20
7399.425207218658,2.981848642826803e-06,0.0035042762756347656,10,17235,972.9509018178076,83,20
7318.168346053451,2.1778946464530608e-06,0.0029954910278320312,10,16812,1002.7953010964347,80,20
7326.040831367183,2.326080412812984e-06,0.004516124725341797,10,17012,1011.6013286535797,80,20
7376.095441692243,1.898352707146654e-06,0.002995729446411133,10,17268,1043.1851937867887,79,20
7249.48152261754,1.853227688065316e-06,0.0029954910278320312,10,16921,1234.0436285931396,78,21
7316.426916508186,2.0555131635851118e-06,0.003509521484375,10,17122,1098.843703949783,77,20
7314.581300571593,1.8533988962109528e-06,0.002995014190673828,10,16815,1097.614409025176,80,20
7380.876262968464,2.1574079997783278e-06,0.003508329391479492,10,17268,1105.229832673607,79,20
7366.140560288964,2.019933717606172e-06,0.0029959678649902344,10,17084,1086.4915896618713,80,20
7281.252551825371,2.647430950640393e-06,0.003008127212524414,10,17004,1038.7410615580777,79,19
7349.283682538766,2.2710863267313303e-06,0.002997159957885742,10,17247,1137.8411906542406,79,21
7329.470686616341,2.0643840019518215e-06,0.0029952526092529297,10,17134,1225.984060688893,77,22
7306.880229757296,2.530445826588271e-06,0.0029954910278320312,10,17178,1112.5659210189413,78,21
7359.108824268792,2.735794722200001e-06,0.0029952526092529297,10,17197,1066.994734182193,78,20
7385.975660037113,2.411477957907464e-06,0.0025043487548828125,10,17316,1145.2463405882563,78,20
7277.608723344569,2.235951054368462e-06,0.0029947757720947266,10,16892,1115.7508399789922,78,20
7375.682442849423,1.8181050181982036e-06,0.003516674041748047,10,17150,1035.7420648884697,78,19
7324.404000315194,1.99054226844729e-06,0.002995014190673828,10,17140,1142.5870916991278,80,20
7361.654859292271,2.147506552103392e-06,0.0030701160430908203,10,17095,1079.5266927441514,77,20
7353.588839255273,2.014011110066676e-06,0.0030012130737304688,10,17260,1145.2453415505213,79,21
7308.862629246088,2.058409113152958e-06,0.002995014190673828,10,17083,1148.5633257672407,78,21
7340.582383576146,2.862302825644193e-06,0.0019996166229248047,10,16988,1124.661986772327,79,20
7248.038843871967,3.498582615752905e-06,0.002994537353515625,10,16808,1133.08485136454,77,20
7376.788897618819,2.120571024788581e-06,0.003158092498779297,10,17192,1230.188227401733,79,22
7355.850028120416,2.8813267162590123e-06,0.0029952526092529297,10,17096,1059.4572426797654,79,19
7331.1350787767,1.9517359847404897e-06,0.0029964447021484375,10,17179,1158.768655542452,77,22
7316.73480226223,2.1152495045306853e-06,0.003503084182739258,10,17085,1089.4611523312367,78,19
7326.5273422209975,1.965604861176421e-06,0.004054546356201172,10,17080,1014.668592945114,82,19
7297.458724401764,1.8897331190469795e-06,0.0029947757720947266,10,17106,1161.8568374548338,77,20
7284.038212893743,1.8264950689282563e-06,0.0030808448791503906,10,16869,1115.8657980593746,80,20
7306.237384957313,1.929208745298616e-06,0.002988576889038086,10,17110,1056.2097443160408,78,19
7373.6285599427865,3.7764690070240567e-06,0.0030040740966796875,10,17237,1096.4035074838998,78,20
7302.249917678196,2.2091888672320645e-06,0.0019996166229248047,10,17016,1175.6256131968337,81,20
7305.286423422291,2.2787601258969293e-06,0.0029952526092529297,10,16990,1137.667427039511,78,20
7331.062759064245,1.97460892471478e-06,0.003509044647216797,10,17094,1068.1850305816192,80,19
7348.576457060396,2.049538051449493e-06,0.0029921531677246094,10,17213,1121.7919748377092,79,20
7354.856492431774,2.0327536822462077e-06,0.004005908966064453,10,17266,1115.155651579544,77,19
7408.4030320197435,2.5013992591237535e-06,0.0035021305084228516,10,17331,1099.330641986241,79,20
7302.414570789636,2.7859897942175876e-06,0.002995729446411133,10,16883,1185.599778800185,78,21
7368.934021281895,2.866278244945668e-06,0.0035185813903808594,10,17259,1048.269640366925,79,19
7303.109377560128,2.8905779319502045e-06,0.0029954910278320312,10,16985,1105.2358415910016,79,20
7353.254673786874,2.2778536027949356e-06,0.003996849060058594,10,17008,1142.0789791809677,80,20
7347.3146443296555,3.6593235457291577e-06,0.003516674041748047,10,17124,1144.8829389964162,78,20
7298.9735825320395,2.3550931791802567e-06,0.003001689910888672,10,16908,1076.393489623425,81,19
7303.707554550097,2.9220755393919254e-06,0.0030069351196289062,10,17011,1357.459385454965,76,20
7297.895774823694,3.3266160193837206e-06,0.0029959678649902344,10,17000,1333.3435757223588,79,21
7323.384957846932,3.2553975822449968e-06,0.002998828887939453,10,17109,1418.669881206434,75,21
7353.98397447424,3.253071713330353e-06,0.0035042762756347656,10,17138,1245.857532916184,74,19
7290.874136589917,1.8872962216224935e-06,0.0029947757720947266,10,17006,1302.9756426830388,78,19
7283.754815727374,2.1873869074233543e-06,0.0035152435302734375,10,16961,1268.7572308622978,74,20
7305.698875304561,2.566018950120369e-06,0.0029947757720947266,10,17112,1335.9794098779357,77,21
7265.603993854185,2.833044479997953e-06,0.0030765533447265625,10,16856,1303.1256722996216,75,20
7341.428374721592,2.554704309707728e-06,0.003507852554321289,10,17233,1331.8069768722214,76,21
7326.78817230105,2.982670018211406e-06,0.0029959678649902344,10,17123,1302.5201561386139,74,20
7289.425453322691,1.908336363968265e-06,0.0035071372985839844,10,17044,1441.2184370698155,77,22
7299.118282027637,2.574211444153561e-06,0.003996610641479492,10,17014,1314.3602878623633,76,20
7314.807047929127,2.5893506484222127e-06,0.0029952526092529297,10,17103,1255.4568754120717,75,20
7358.3105123919895,2.23322845719248e-06,0.0025064945220947266,10,17147,1159.3581823329014,78,20
7279.069484759639,2.141138306209853e-06,0.0029952526092529297,10,17035,1273.4491691149124,76,20
7260.934917752031,2.6199515973815485e-06,0.0035157203674316406,10,17029,1355.3753751251377,79,21
