rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
381.262283940676,1.5702252306445439e-06,0.008388042449951172,10,17038,17784.025655879363,86,85
1654.5981758969797,1.171068276271303e-06,0.00850820541381836,10,17002,15242.03759561268,84,93
789.8893341862545,1.4762436423036993e-06,0.0075113773345947266,10,17039,18831.319642494112,84,81
1634.6461693418016,1.6858373881657365e-06,0.007508993148803711,10,17255,15409.506794136782,83,91
1752.7968002560133,1.7063474298507862e-06,0.007509708404541016,10,17154,20553.21875083035,84,76
945.8283455752305,1.4325700862809657e-06,0.00751495361328125,10,16956,16526.40809121228,82,88
553.2873482552855,1.404101678602977e-06,0.007508039474487305,10,16756,17159.82455517693,85,86
509.2570804968181,1.5271745925735325e-06,0.009528875350952148,10,17033,18427.240934593985,83,82
1338.7691325016442,1.6308014485218442e-06,0.007513284683227539,10,16937,19822.08570694506,84,78
920.0551781612545,1.5623558460002708e-06,0.007005453109741211,10,17443,19258.857795744094,85,79
421.02619885638586,1.4670554294052776e-06,0.008510589599609375,10,16882,17388.59662850458,82,85
1897.2584579299337,1.917388801013361e-06,0.008513689041137695,10,17065,20782.3190871975,83,76
732.4252947343413,1.5355597516437622e-06,0.008516550064086914,10,17066,19048.805225611373,83,81
444.2479693829893,1.6091995648620783e-06,0.007508993148803711,10,17127,18286.97649872313,83,83
543.1394196806998,1.9213055114729048e-06,0.007009267807006836,10,17152,18647.73682813192,81,81
628.6943159916453,1.5337992025496504e-06,0.008013010025024414,10,16967,18693.771026893526,82,81
873.2187280437554,1.5263323739801494e-06,0.008013248443603516,10,17076,16953.907304846776,83,87
582.9079247279785,1.8614779229090496e-06,0.007009029388427734,10,17204,18621.628697316064,83,81
801.7530499181645,2.3379002334411043e-06,0.008517980575561523,10,17095,19055.19143334744,83,80
652.7599803212054,1.2358333457766543e-06,0.007835149765014648,10,17110,16704.643809803758,86,86
1363.667307305839,1.1882275011036131e-06,0.007515430450439453,10,16832,15728.753477636801,85,91
2349.7409074239094,2.0204969229567174e-06,0.006003141403198242,10,16906,21614.170616081232,84,74
2355.7152496523845,1.7685660473248999e-06,0.0070018768310546875,10,17008,21516.614196109615,84,73
1219.7283883868613,1.6993549602207792e-06,0.00599980354309082,10,16777,16016.857914115946,84,90
722.8738178989563,1.4183602662095137e-06,0.006517171859741211,10,17113,18786.22389072617,83,80
460.97709240887036,1.3991820022997235e-06,0.008018016815185547,10,17028,18381.728937735516,85,82
969.100429033265,1.4923405325057477e-06,0.00800776481628418,10,17005,16416.2197998663,85,88
1314.5284259589198,1.83665342610841e-06,0.007512807846069336,10,17113,19847.79826602112,83,77
1575.8863872111322,1.6138284297087356e-06,0.007516622543334961,10,17071,20489.473343563288,83,76
899.9722242188944,2.3308272885182945e-06,0.005999326705932617,10,16980,19019.839167271046,84,80
1692.8786703782234,1.8635250145678527e-06,0.006509542465209961,10,17183,20645.35183697678,79,75
1424.8534225493026,2.0589419562574477e-06,0.008508682250976562,10,16875,20070.4647193475,84,78
968.894740823398,1.3990175749477658e-06,0.008004903793334961,10,17035,19080.803702779154,82,80
317.74530693029817,1.9105698312494536e-06,0.008515357971191406,10,17290,17615.192817947904,83,84
1208.6174009624401,1.5883198917021612e-06,0.007003307342529297,10,17048,19752.20623017212,82,78
505.15574778318745,1.7082344305373325e-06,0.0075054168701171875,10,17105,17951.554418289656,80,82
1085.647188903416,1.9365150341470404e-06,0.007511138916015625,10,16872,19603.154926860432,82,78
602.2988189487329,1.5103597640913903e-06,0.0075016021728515625,10,16943,18468.612159266057,85,82
849.5301242080455,2.002983546432175e-06,0.008511066436767578,10,17224,19127.825352600397,83,80
840.4525417004252,1.5278372985443135e-06,0.008003950119018555,10,16861,18910.02643265367,84,82
652.1188422074237,1.3643974595123554e-06,0.006511688232421875,10,17064,16904.060372766977,83,85
468.06814619281386,1.6510856710470615e-06,0.007508754730224609,10,17110,17306.510704840006,80,82
401.12442012711887,1.7062120073809394e-06,0.009503602981567383,10,17193,18221.358587698094,80,80
