rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
3601.3040735073064,1.778453131089034e-06,0.017385244369506836,10,17038,21846.66373224417,86,67
3645.5918060456224,1.0300416795118446e-06,0.0029981136322021484,10,17002,21816.88768867347,84,67
3704.8995487869993,1.2934909351855631e-06,0.002996206283569336,10,17039,21921.245124312227,84,67
3599.8114540261577,1.916477578449333e-06,0.0035135746002197266,10,17255,21962.775527172584,83,67
3583.5340708254143,1.7128113392820278e-06,0.0029981136322021484,10,17154,21911.187808092447,84,67
3589.170407930412,1.5586695391862256e-06,0.0030105113983154297,10,16956,21911.03224624883,82,67
3646.0830064835036,1.5183860918405362e-06,0.002997159957885742,10,16756,21896.69854364134,85,67
3585.1261138024324,1.5382513607396532e-06,0.0025091171264648438,10,17033,21901.99658392278,83,67
3611.5830103124463,1.377546639705451e-06,0.001996755599975586,10,16937,22000.77378679197,84,66
3621.8816720288337,1.2504614252335605e-06,0.0030031204223632812,10,17443,21981.40038800737,85,66
3702.097028543213,1.4737401656354205e-06,0.0019996166229248047,10,16882,21960.023249716836,82,67
3565.34619915917,2.0574346011061498e-06,0.003003835678100586,10,17065,21932.01097285211,83,67
3453.927927268989,1.2052560256515114e-06,0.002499818801879883,10,17066,21862.417208463503,83,67
3681.6525088374983,1.6483722139919625e-06,0.0029973983764648438,10,17127,21848.31364398156,83,67
3552.279194082961,2.034333252838736e-06,0.003004789352416992,10,17152,21966.641500108006,81,67
3531.93706888876,1.1263183038762837e-06,0.002997159957885742,10,16967,21950.539709993503,82,67
3448.062740901457,1.5968175600438277e-06,0.0034995079040527344,10,17076,21842.491805936606,83,67
3553.488321434722,1.8247561624820582e-06,0.0035059452056884766,10,17204,22015.98139735767,83,66
3521.962568407655,2.241911830637022e-06,0.003996849060058594,10,17095,21978.22876472232,83,67
3778.5353895294957,1.000005120950479e-06,0.0030040740966796875,10,17110,22034.92458819421,86,66
3639.9631493211846,1.106398080246153e-06,0.003509044647216797,10,16832,21876.775355748836,85,67
3446.6663634513984,2.033141500299279e-06,0.005517721176147461,10,16906,21833.66437164877,84,67
3563.7405467331887,1.3388829533774477e-06,0.005019664764404297,10,17008,22008.96265866727,84,66
3617.542517775448,1.874782181981057e-06,0.004522085189819336,10,16777,21817.07879225279,84,67
