rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2759.3956366382945,2.582670947370779e-06,0.004515647888183594,7,16979,10744.035681742072,84,77
2296.2575344300503,2.1120905645831417e-06,0.0045049190521240234,7,17255,12415.808428065462,84,75
2166.435451644914,1.8740715460700114e-06,0.0036153793334960938,7,16979,12665.703595550556,83,75
2335.018652607364,1.799737401882998e-06,0.0049228668212890625,7,16949,11843.53043432312,85,76
1915.8011862131054,1.221462327062808e-06,0.004151582717895508,7,17019,13256.430319604011,83,75
1824.0798781369479,1.0628378478239744e-06,0.004053592681884766,7,17136,13469.0869259358,84,75
1704.7960874288376,1.118780224645048e-06,0.003793954849243164,7,16919,14465.415294785034,85,74
1602.4814406059058,1.5355161214187817e-06,0.004297733306884766,7,17239,14067.867793746385,81,74
2858.2831836018945,1.5231710109569987e-06,0.0045163631439208984,7,17142,10509.377920641178,84,76
1638.5801890947055,1.4969114559009093e-06,0.005511760711669922,7,17103,14598.598869449594,83,74
1743.7339428392547,1.4188182594338968e-06,0.005142688751220703,7,16792,14466.04156628525,83,73
1675.4842775812442,1.5068072018361629e-06,0.005500316619873047,7,17232,14108.037336656318,79,73
1646.3154129330044,1.5316038515614138e-06,0.004854917526245117,7,17247,14229.49102651019,82,73
1656.0584599785407,1.2691352462553847e-06,0.004295825958251953,7,17079,14085.709036491748,82,73
1430.398771896272,1.6968567994954483e-06,0.004468441009521484,7,17258,15983.186749703016,81,71
1737.0326236442666,1.6115198086911437e-06,0.005283832550048828,7,17176,15086.470481411294,81,72
1608.7154757104736,3.415915480587754e-06,0.004949331283569336,7,16812,14730.334735238981,81,72
1780.860049977694,1.326789471543572e-06,0.004225969314575195,7,17085,13924.9306682336,80,73
1402.0715471645701,1.7781533978164042e-06,0.004668235778808594,7,17470,15392.89225310139,80,72
1846.0240560626175,1.2317594824040436e-06,0.004842281341552734,7,17034,13434.813285333072,78,73
1436.041320070343,2.5216463543309086e-06,0.0055005550384521484,7,17342,15306.418087650978,77,70
1884.4596251313706,2.143271664781211e-06,0.005016326904296875,7,16978,13200.485423831313,79,72
1583.7070179118018,2.79068821614376e-06,0.004604816436767578,7,17234,14526.842528057696,78,70
1538.6907021047173,8.199128167286982e-06,0.004016399383544922,7,17138,15168.482851962752,78,70
1391.5746633802853,1.753860623441999e-06,0.005033254623413086,7,17003,16176.622071585423,79,69
1532.5443421930247,8.434303661962133e-06,0.004186868667602539,7,17410,14392.83117849368,76,71
1504.5401127367888,2.0284301799318843e-06,0.004385709762573242,7,16790,14823.661439693584,76,71
1422.3301894897966,1.961140655293283e-06,0.004513740539550781,7,17363,15168.992210107499,79,70
1545.3912966924338,1.1618748230836169e-06,0.005055904388427734,7,16915,14003.14108332163,77,71
1580.367935497641,1.8188576398798748e-06,0.004495143890380859,7,17243,14160.015742664416,78,71
1617.6199550947624,2.2113523049615055e-06,0.004370927810668945,7,16676,13908.19595857092,78,70
1277.7815222983445,1.7611349147376363e-06,0.0048029422760009766,7,17545,16328.95022395651,74,68
1553.0536677429006,1.7740078246952494e-06,0.005581855773925781,7,17124,14231.346469865675,79,70
1604.5258955538698,1.8619834822746897e-06,0.004511594772338867,7,16713,13683.628394006153,78,71
1822.705264687688,1.4150534640805498e-06,0.005053997039794922,7,17236,13188.509344910144,76,71
