rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
3568.3514724824577,4.663056313465009e-06,0.02207636833190918,7,16979,20798.07485083323,84,67
3637.704653931108,4.776826110089962e-06,0.0049135684967041016,7,17255,21043.38250237185,84,66
3650.892266543988,4.593761178052132e-06,0.004145622253417969,7,16979,20975.57000991649,83,66
3501.025940122877,4.978750838127626e-06,0.00455164909362793,7,16949,20859.69924733855,85,67
3569.1449330951336,4.999095868715572e-06,0.004526615142822266,7,17019,21003.541018061518,83,66
3461.149003644055,5.060282457262878e-06,0.005411624908447266,7,17136,20958.042497478826,84,66
3649.1279762173835,5.060126878027559e-06,0.004294395446777344,7,16919,21030.14127522707,85,66
3255.9893352814124,4.913306024504414e-06,0.004519462585449219,7,17239,21120.253375381686,81,65
3581.129419841868,4.881040782615143e-06,0.005516767501831055,7,17142,20880.23746763673,84,67
3546.392940516796,5.016571239885267e-06,0.004584550857543945,7,17103,21121.958801187247,83,65
3761.2299641276186,4.998758952194056e-06,0.0043604373931884766,7,16792,21316.385112713997,83,64
3428.8424051441953,4.961985790756583e-06,0.004182100296020508,7,17232,21306.09371948969,79,64
3395.653909641415,4.994934876758301e-06,0.004794120788574219,7,17247,21299.61592327345,82,64
3445.669228797121,5.027259944595151e-06,0.005140781402587891,7,17079,21350.11672258944,82,64
3425.982482518278,4.926159056859439e-06,0.005068778991699219,7,17258,21448.50639964694,81,63
3746.8068635594423,4.7752059962735575e-06,0.00522303581237793,7,17176,21397.752274654842,81,63
3602.691951661498,5.151401369989411e-06,0.004121541976928711,7,16812,21354.315267397014,81,64
3636.5121644065034,5.004325197508774e-06,0.005249500274658203,7,17085,21403.54700978065,80,63
3254.6552986704714,4.88120332328426e-06,0.005543708801269531,7,17470,21306.76413763627,80,64
3554.4991806197286,5.028387093464803e-06,0.004962444305419922,7,17034,21358.77682519432,78,64
3444.39587014248,5.157351511124758e-06,0.005540609359741211,7,17342,21639.412107819837,77,62
3542.8942483755227,4.688851811216846e-06,0.00600743293762207,7,16978,21595.616087827224,79,62
3485.677424832598,5.162393628535257e-06,0.004805326461791992,7,17234,21715.683992698716,78,61
3577.40944013219,8.078096501093501e-06,0.004853010177612305,7,17138,21662.930486411915,78,62
3442.0181421341817,4.812761363347233e-06,0.005478382110595703,7,17003,21668.447625806217,79,62
3335.4937435056345,8.66262099202197e-06,0.005156278610229492,7,17410,21610.06699181185,76,62
3511.308277076955,4.937757715252049e-06,0.004997968673706055,7,16790,21586.21213238713,76,62
3350.6710251407007,5.110913632599908e-06,0.0044040679931640625,7,17363,21648.206030746718,79,62
3342.237843199926,5.066203175655151e-06,0.00426793098449707,7,16915,21665.16603586619,77,62
3352.8473138552745,4.900397044237508e-06,0.004839658737182617,7,17243,21639.505291611335,78,62
3514.9968214397886,4.677555924418128e-06,0.004352569580078125,7,16676,21788.73210352862,78,61
3335.874516045537,5.033870113604694e-06,0.0053408145904541016,7,17545,21967.42907446058,74,60
3404.248629696103,4.961804532370398e-06,0.00452113151550293,7,17124,21796.247547076317,79,61
3413.918122355324,4.8964317081909505e-06,0.0053446292877197266,7,16713,21682.686069092833,78,61
3340.2098223099774,5.008978706814964e-06,0.0049970149993896484,7,17236,21805.429738606996,76,61
3554.0029952544223,4.969619446478656e-06,0.004146575927734375,7,17033,21919.675987100956,78,60
3424.285487115325,4.999346001547475e-06,0.006253957748413086,7,17156,21919.668528273105,77,60
3524.786330178177,4.9284752097185386e-06,0.004750251770019531,7,17245,21917.142023440494,77,60
