rmse_I,rmse_Beta,time_predict,20,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
4629.525371790114,2.155528244644538e-06,0.0,20,8194,17308.500308652674,141,119
4158.734877538374,1.9698413563260554e-06,0.01562976837158203,20,8297,17320.392369807105,147,125
4171.289702539318,2.0583315905909045e-06,0.0,20,8302,16633.630586996205,136,119
4308.86446410963,2.052504040902404e-06,0.0,20,8129,16956.589609819177,153,121
4371.827641615991,2.0914659769786365e-06,0.0,20,8431,16732.277627814714,139,118
4211.803557815417,2.0208763249425224e-06,0.0,20,8203,16710.822510691403,146,120
4512.294579657676,2.11304131904334e-06,0.0,20,8329,16474.776180139455,143,115
4772.789936561297,2.215569429592597e-06,0.0,20,8337,16851.742223310743,141,114
4598.166674000082,2.1488856395399335e-06,0.0,20,8161,16892.591867032017,145,118
4338.8321779229445,2.0710902207433363e-06,0.0,20,8530,17101.462829725686,142,120
3816.4512358406937,1.982778671088559e-06,0.0,20,8446,16202.930421519757,134,118
3861.979237204962,1.9373331559779213e-06,0.0,20,8347,16487.306380520935,141,122
3770.5488518489597,2.0086554598993506e-06,0.0,20,8431,15877.960614658703,131,114
3724.9114518946844,2.03131317986051e-06,0.0,20,8596,15997.58483867461,140,117
3871.1384146667324,1.996186005331507e-06,0.0,20,8557,16152.856301865157,138,117
4157.061029315038,2.120446777070819e-06,0.0,20,8524,16036.120015080684,138,111
3816.31303959944,2.014237000763709e-06,0.0,20,8683,16090.38822859485,136,114
3650.0746376863717,1.9473357464159515e-06,0.0,20,8448,15833.014259159156,140,116
3926.030737551433,1.943878008908483e-06,0.0,20,8293,16699.608418596894,137,122
4079.654006177289,2.083955069748787e-06,0.0,20,8581,16112.89770897598,138,113
3283.467847424229,1.9222689636552545e-06,0.0,20,8722,15336.235535230662,130,113
3424.28882606624,1.922474137768593e-06,0.0,20,8700,15322.269131034458,127,113
3583.1545769525487,2.003704363107693e-06,0.0,20,8616,15485.520079858165,137,113
3237.8556887099953,1.897176170248112e-06,0.0,20,8625,15509.580840618462,134,119
3434.3389587293254,1.8905136426386418e-06,0.0,20,8538,15791.308095821936,129,120
3484.009980643789,1.926441517193833e-06,0.0,20,8639,15601.393160116331,130,115
3478.009896016838,1.9230698585905776e-06,0.0,20,8537,15348.921203420356,130,116
3264.380251454241,1.9683734169590774e-06,0.006553173065185547,20,8725,15392.238072901737,127,113
3206.007646382917,1.9296876954148203e-06,0.015639066696166992,20,8623,15202.171189738636,128,115
3346.0835902647323,1.9047082618778062e-06,0.015623331069946289,20,8591,15432.05550483958,131,117
3138.013417636501,1.8819323093364512e-06,0.0,20,8635,15049.591992715916,127,116
3254.6416549071732,1.8943875221481097e-06,0.0,20,8571,14932.396949459191,132,113
3065.4870067965253,1.7893169184421268e-06,0.0,20,8654,15127.751527678276,133,119
2983.0011533656907,1.8451783301648668e-06,0.0,20,8642,14552.673931300704,123,110
3259.2770903183036,1.914322723915609e-06,0.0,20,8558,15044.629470808868,126,113
3189.3387069735422,1.860374056406198e-06,0.0,20,8565,14901.471184710785,124,113
2893.0515512410584,1.8131210395231462e-06,0.0,20,8554,14602.001066453564,128,114
3203.157433730755,1.8863724790553698e-06,0.0,20,8491,14995.304337532154,126,116
3151.451236979217,1.8040675800005772e-06,0.015625476837158203,20,8626,15078.648761198605,126,116
3033.9797423831,1.874861796969946e-06,0.0,20,8649,14789.218806856134,123,112
2601.1460484256454,1.765030850190792e-06,0.0,20,8847,14083.2454995058,113,108
2756.8849104081864,1.8029782132997391e-06,0.0,20,8732,14352.017988905696,126,114
3172.5470127378044,1.907545530559645e-06,0.0,20,8508,14456.990896106734,128,110
3103.978415557823,1.9308410973522015e-06,0.0,20,8567,14373.553384944267,121,107
2953.4604149431216,1.89739294690875e-06,0.0,20,8523,14294.704782278617,121,108
2995.3428762940875,1.8980022707350531e-06,0.0,20,8414,14298.08325929855,115,110
2768.330559986975,1.8224627564417985e-06,0.0,20,8622,14253.986941086876,121,114
2821.9905415364055,1.8141106845152577e-06,0.0,20,8687,14307.530052743448,125,112
3026.0420283890735,1.8525293663896553e-06,0.0,20,8702,14518.903527280276,123,108
3109.9858081165476,1.9306780916228058e-06,0.0,20,8709,14632.84652677113,125,104
2660.25282347787,1.7671185548645284e-06,0.0,20,8494,13766.81104551602,118,108
2506.1514558566155,1.812684690384661e-06,0.0,20,8722,13716.0265154648,115,109
2688.020857764068,1.8075864029702575e-06,0.0,20,8756,13954.04379427587,115,109
2457.5916252809625,1.7618908898331474e-06,0.0065119266510009766,20,8778,13709.147218003385,115,108
2597.4203896659137,1.7812792224942886e-06,0.015635013580322266,20,8723,13766.553525886919,118,110
2526.8555393124775,1.8004275027248266e-06,0.015626192092895508,20,8803,13668.913267873635,117,107
2640.457915590355,1.7893323133608235e-06,0.015624761581420898,20,8550,13748.75866655853,118,108
2916.691778915799,1.8985368901396748e-06,0.015624761581420898,20,8554,14184.323890669815,113,105
2504.3580569266996,1.7955184839404336e-06,0.015624761581420898,20,8841,13885.007917700354,113,107
2550.0701116330765,1.7900513837264897e-06,0.01562643051147461,20,8866,13859.988535150078,120,108
2337.0967457734455,1.548041037885508e-06,0.0,20,11945,15856.398542507457,117,105
2210.730676493282,1.3615512997965134e-06,0.0,20,11651,15631.967943512962,120,108
2233.2371595135496,1.4153274639467696e-06,0.0,20,11503,15827.677159075343,117,107
2336.865855881011,1.3587812367524532e-06,0.0,20,11771,15961.948029856849,115,105
2359.629459896177,1.3392071890222759e-06,0.0,20,11438,15862.43656723614,112,105
2515.4348347219334,1.3723332299507726e-06,0.0,20,11516,16088.78082268491,117,105
2059.6584542465453,1.4097272374210102e-06,0.0,20,11558,15852.214102480322,118,110
2368.8856279071706,1.4319721475532782e-06,0.0,20,11637,16015.039541301763,120,107
2672.552273040737,1.54675898653466e-06,0.0,20,11753,16174.842499445516,117,105
2883.3631216381523,1.4809689115152085e-06,0.0,20,11647,16248.546772016105,119,102
2076.8271811014074,1.517080073076144e-06,0.0,20,11629,15308.984479638686,113,105
2268.094133652816,1.4545383462072044e-06,0.0,20,11394,15539.273570948402,115,103
1943.508462795486,1.653111665578984e-06,0.0,20,11870,15276.875814041096,111,104
1928.6798594157588,1.3181064365820598e-06,0.0,20,11451,15157.47317727198,116,104
2005.0816141438283,1.4908092660510095e-06,0.0,20,11706,15336.277007134846,115,103
2143.926299583831,1.345802210433217e-06,0.0156252384185791,20,11552,15310.875090044703,114,102
2297.9701160208897,1.5303986911390015e-06,0.0,20,11655,15471.096431681639,110,102
2153.3854628208423,1.2675028251210308e-06,0.0,20,11683,15592.068693161398,113,103
2319.2890600250726,1.9950708450411723e-06,0.0,20,11762,15622.07040716399,113,99
1742.6014181017915,1.6618762282941977e-06,0.0,20,11774,15103.249364236883,109,105
1523.2389763055874,1.7168742437987005e-06,0.0,20,11737,14664.336652701477,111,100
2051.422343583508,1.4212768344774128e-06,0.0,20,11910,15203.803228462079,109,96
1973.9392483177296,1.4589844027457268e-06,0.0,20,11671,15027.397591397421,108,97
2064.93784517246,1.7619241019194878e-06,0.0,20,11891,15173.544412822657,110,96
1771.1011798569969,1.3478036784386375e-06,0.0,20,11772,14917.2231613025,107,99
2050.165518051446,1.450221058645585e-06,0.0,20,11359,15052.283755360022,116,99
1873.8196372848072,1.5778182958639824e-06,0.0,20,11765,14941.367428708158,110,99
1600.6089366506028,1.7736696579906321e-06,0.0,20,11954,14791.766631607139,104,101
1844.3475319947904,1.537959926032841e-06,0.0,20,11604,14949.366650067202,108,99
2014.8152117522513,1.6373957159181634e-06,0.0,20,11844,15123.821701881288,106,97
1251.8465423079956,1.416318310824585e-06,0.0,20,12014,14235.141521060697,102,98
1589.062813138031,1.3661557798498588e-06,0.0,20,11910,14651.725274975148,100,94
1608.6637804241677,1.7429194649776509e-06,0.0,20,11969,14692.807556705458,104,94
1668.5911867247353,1.7101952456312112e-06,0.0,20,11668,14593.645691926493,104,96
1584.692027581196,1.3504218423536677e-06,0.0,20,11801,14755.887489647168,99,93
1935.7075033596682,1.6295905692853474e-06,0.0,20,11784,15055.85956938716,106,93
1503.7191009632609,1.54177116332368e-06,0.0,20,11998,14534.919341630866,105,97
1735.0725352348568,1.5143478177467535e-06,0.0,20,11750,14808.638129951109,102,94
1796.7313879502647,1.499977473750873e-06,0.0,20,12011,14793.356392792777,104,95
1728.7674287337331,1.68322968668284e-06,0.0,20,11833,14843.570670325984,109,97
1133.1558040405932,1.873333509468952e-06,0.0,20,12083,14070.58128954086,99,95
1560.9180377756813,1.5520692613450898e-06,0.0,20,12116,14561.95817896912,101,90
1620.7004425486464,1.4298967551271075e-06,0.0,20,11831,14474.859142767327,102,92
1049.3469445140572,1.7544038527427322e-06,0.0,20,11921,13907.499897110289,103,98
1476.9388520967102,1.6597041858926895e-06,0.0,20,12130,14493.743482986416,99,92
1126.7612849298444,1.8649355562167792e-06,0.0,20,11857,14010.100486494854,102,95
1297.2490277297823,1.7866486861454097e-06,0.0,20,12165,14326.526186141047,100,91
1180.4108386358103,1.4118829443965278e-06,0.0,20,12029,14247.835950301616,100,95
1067.0216415400826,2.205131005631338e-06,0.0,20,12136,14114.71853454122,103,96
1274.0847626216214,1.5964539370866984e-06,0.0,20,11752,14098.964728019919,97,95
1005.3724825075648,1.4827695635662807e-06,0.0,20,11842,13727.366100193209,96,95
1419.273890220341,1.3818247497530309e-06,0.0,20,12015,14342.191408605202,98,90
1298.1973414727443,1.7111614078816346e-06,0.0,20,12054,14161.82289113051,96,90
855.3591144198798,2.486109233191348e-06,0.0,20,12041,13697.940944408243,95,93
1303.4746325949043,1.5524277482641964e-06,0.015625,20,11970,14308.300098167321,99,90
1132.606398830496,1.7243308227411796e-06,0.0,20,11929,14141.55883749343,93,91
924.014107135183,1.540766038806477e-06,0.0,20,11992,13724.832564565348,96,93
1478.104280569687,1.8485216782100799e-06,0.0,20,12024,14416.315608411038,95,88
1242.4839767848173,1.8560667680612528e-06,0.0,20,11978,14201.679487666697,95,89
1003.3039877296663,2.066266951625397e-06,0.0,20,11841,13765.440295360124,92,91
1728.9696958543477,3.3024977098696743e-06,0.0,20,14035,16493.902863408428,99,91
1730.105230130197,3.0371524303420577e-06,0.0,20,14151,16584.37592503133,105,93
1282.9761955257834,5.127686628402861e-06,0.0,20,14144,16136.990398039263,101,94
1707.6399246406636,3.877447857243725e-06,0.0,20,14139,16460.152364914607,102,91
1256.953789867967,3.682739978602749e-06,0.0,20,14178,16080.957821484199,100,94
787.8937160172514,4.448424473605519e-06,0.0,20,14273,15607.169907454447,101,99
954.0231981389593,3.8538077269447955e-06,0.0,20,14395,15950.924578171813,103,95
1206.5617380704737,4.742167395100582e-06,0.0,20,14294,15899.097024374349,103,95
753.2770174744978,3.971879079637706e-06,0.0,20,14155,15514.632657111479,100,100
1182.698346710821,6.7084531454827605e-06,0.0,20,14601,16177.967122087864,104,95
826.7406837445525,4.5941870636102485e-06,0.0,20,14742,15659.749511038806,99,92
591.4187755749978,4.113735933734667e-06,0.0,20,14023,15114.522108601423,94,94
1042.4323337559322,5.024747479039187e-06,0.0,20,14237,15766.186429029043,101,91
1126.4909313685473,3.975575133337874e-06,0.0,20,14607,15965.018214481905,96,89
795.3553466327778,3.685529445989209e-06,0.0,20,14173,15369.290496647944,97,93
1214.4456427866837,4.3692606515748985e-06,0.0065097808837890625,20,14073,15880.883778731577,98,90
970.3391282452201,5.145401656404087e-06,0.0,20,14251,15526.97916277528,98,90
1548.4320550168525,3.5064129908745513e-06,0.01562666893005371,20,14135,16418.288253508566,98,88
1105.0910934969797,3.0976519781847346e-06,0.015623331069946289,20,14284,15856.147259392981,95,91
1300.8682784774305,4.7803464743919e-06,0.015625715255737305,20,14301,15957.272343652146,100,89
610.3900589430788,5.2422000956582424e-06,0.015624761581420898,20,14635,15292.083735018206,97,89
1035.5040944323123,4.3529299102897655e-06,0.015624761581420898,20,14252,15704.404172893792,92,87
1180.6113681175584,3.2327558227571393e-06,0.0,20,14208,16012.103320061793,92,85
500.7127090244724,4.817617085960421e-06,0.0,20,14454,15117.813835531344,92,90
1228.8864074775,6.515664648032353e-06,0.0,20,14309,15899.456697298087,94,86
930.0223777482099,4.591470920409032e-06,0.0,20,14490,15550.090172237069,96,87
790.1093530555681,3.528516741055807e-06,0.0,20,14601,15380.711405045922,94,88
549.9538548678071,5.775683809686271e-06,0.0,20,14242,14833.249027678497,93,89
746.3874562525785,3.934207284388505e-06,0.0,20,14528,15335.108980611669,95,88
1126.9710873532845,5.2089482945576664e-06,0.0,20,14387,15917.182527343048,94,86
773.167686403034,5.2426394125884785e-06,0.0,20,14376,15210.786032330932,90,84
1088.0105909975873,4.777308910885772e-06,0.0,20,14234,15602.066818777486,92,83
455.49433065679955,8.166808830509452e-06,0.0,20,14560,15002.577499270541,87,86
302.27527376424933,4.627762354753307e-06,0.0,20,14459,14660.295951380325,90,87
610.1916012436745,6.662068406077182e-06,0.0,20,14220,15028.851952666986,90,87
543.2462462639014,6.903952357418846e-06,0.01563858985900879,20,14595,14981.953973196238,94,85
900.1106240288856,4.918238364266367e-06,0.01562643051147461,20,14373,15447.977017149931,93,84
1004.2965094724241,6.399583060862799e-06,0.015622138977050781,20,15095,15881.408809288137,91,82
546.3646166653975,5.763080210714779e-06,0.015626192092895508,20,14647,15046.20096728086,91,86
544.66003068437,4.9304686976528065e-06,0.015624284744262695,20,14555,15032.45261766339,89,85
625.6753033266126,3.2240371990979754e-06,0.015624284744262695,20,14372,14933.096181871266,89,83
580.2849184178269,3.574225883373395e-06,0.001008749008178711,20,14717,15330.562523525543,86,82
284.4125721316534,7.6227906133423375e-06,0.0,20,14491,14844.89368032382,84,84
463.77890250267933,7.756395462021374e-06,0.0,20,14690,14992.96535267079,87,82
869.5027691470106,4.998836878552758e-06,0.0,20,14648,15488.801128884952,88,80
715.4022872379825,6.26474439689058e-06,0.0,20,14455,15241.787083051491,85,81
618.1765137795753,7.902657943201684e-06,0.0,20,14588,15073.459550273332,89,83
546.0693090801981,6.468177343731746e-06,0.0,20,14342,15104.535993884198,91,82
727.5546687500125,5.646269828571033e-06,0.0,20,14681,15378.44356138937,87,81
327.7989544429737,1.029149873655888e-05,0.0,20,14534,14653.12040603104,89,84
729.2425535187582,4.222108641164725e-06,0.0,20,14543,15159.985610246988,85,80
498.8284751311159,5.396181337079908e-06,0.0,20,14562,14928.275682515468,85,80
537.9538356410518,7.0134078930143295e-06,0.0,20,14515,14831.176778126097,88,80
598.2040476193592,6.697003717680581e-06,0.00651240348815918,20,14714,15070.142124174627,85,79
609.9712172601287,4.722801507122152e-06,0.01563715934753418,20,14525,14908.100981153992,88,81
341.4356527001502,5.881338912766269e-06,0.0,20,14373,14637.342309313703,86,82
565.6760014794506,6.249209833822726e-06,0.0,20,14683,15158.094952006915,84,79
433.232513795172,5.058587700699219e-06,0.0,20,14497,14887.093893423451,86,81
451.4722517108997,5.1270012387654356e-06,0.0,20,14356,14902.704584254087,84,80
634.2566016470873,4.245997207075545e-06,0.0,20,14641,15069.463144047686,88,80
289.1948453956785,9.881062829497204e-06,0.0,20,16319,15980.577296308726,94,90
609.7524345779859,6.176999601567121e-06,0.0,20,16516,16625.21021918854,94,86
732.4982132196639,3.751373986047547e-06,0.0,20,16747,16865.89772405206,90,85
992.9805716740589,1.7949488286085715e-05,0.0,20,16489,16968.563248405197,92,85
582.9681134199119,1.067865846967405e-05,0.0,20,16383,16671.941629381294,92,86
776.421018923935,1.806849511717245e-05,0.0,20,16316,16796.550278722498,95,87
682.5714228039275,1.2013027463680244e-05,0.0,20,16585,16768.294017958986,89,84
375.6002188305457,7.521928658195105e-06,0.0,20,16349,16334.79308068247,90,88
539.5388960856815,1.173902122841677e-05,0.0,20,16294,16420.107708772688,92,88
437.5874040717971,2.5211857231743875e-05,0.0,20,16359,16490.833706623194,90,86
1040.7466455945992,2.469579775119197e-05,0.0,20,16555,17558.615265876524,89,81
564.3261306973036,2.696044396863169e-05,0.0,20,16354,16386.092093614192,87,83
609.1549725686999,3.739590944105916e-05,0.0,20,16541,16397.761434689994,90,82
413.1296762300919,1.004990906311011e-05,0.0,20,16361,16328.523171555094,85,83
307.1784924585312,1.9461657374998168e-05,0.0,20,16482,16172.872793553732,87,83
589.0129609584017,1.931770535833052e-05,0.0,20,16370,16370.234911245045,87,81
387.39575150649864,1.858390665546133e-05,0.0,20,16571,16180.603894262109,88,82
361.014951550035,9.44429414052991e-06,0.0,20,16630,16504.053062889034,86,83
668.367689819306,1.5011705112485555e-05,0.006512880325317383,20,16351,16550.99929395914,88,82
515.2490069947348,1.4635206845618819e-05,0.01563739776611328,20,16841,16450.08179771954,86,81
343.06214332199767,2.091892626083982e-05,0.01562356948852539,20,16337,16007.293739388631,85,80
611.9467294350118,1.7561207892920303e-05,0.0156252384185791,20,16422,16374.603130436228,85,79
