rmse_I,rmse_Beta,time_predict,20,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
5506.964622359209,1.5451354584404378e-06,0.015623331069946289,20,8194,17264.94527518068,141,101
5419.622007462467,1.5849626464444698e-06,0.0,20,8297,17079.779951099146,147,99
5324.931222361407,1.5383465163078301e-06,0.0,20,8302,16934.337132155488,136,98
5404.989134477972,1.583379104838765e-06,0.0,20,8129,17035.713286368413,153,99
5453.317694322829,1.5310218054768853e-06,0.0,20,8431,16997.174402212197,139,98
5335.8479708262075,1.5534732098141623e-06,0.015623331069946289,20,8203,16955.611725682706,146,98
5448.093763415633,1.533854648812637e-06,0.015625476837158203,20,8329,16908.740745429815,143,98
5543.198140456435,1.531062668201784e-06,0.0,20,8337,17083.540651351035,141,99
5605.377880943125,1.5499577295566157e-06,0.0,20,8161,17076.077889125678,145,99
5400.985869139486,1.5426453698702124e-06,0.0,20,8530,17151.252747822597,142,100
5045.455017709019,1.5424136176495485e-06,0.0,20,8446,16744.050326050106,134,96
5182.432325826738,1.5868223926804282e-06,0.0,20,8347,16790.67516976395,141,97
4880.2937835784305,1.4932058814789023e-06,0.015625715255737305,20,8431,16642.98942204052,131,95
4994.190943529344,1.5024246207699576e-06,0.0,20,8596,16676.373028793536,140,96
5078.036822260254,1.5754153150461738e-06,0.0,20,8557,16726.847503982506,138,96
5055.378204861322,1.5696264650831214e-06,0.0,20,8524,16703.98413334165,138,96
4921.545717969318,1.5679842104872906e-06,0.0,20,8683,16725.636253814027,136,96
4861.169153372655,1.5668544698600759e-06,0.0,20,8448,16616.00291888433,140,95
5183.199516151898,1.612134564273727e-06,0.0,20,8293,16869.49198688826,137,98
5088.340445351828,1.5623799783264716e-06,0.0,20,8581,16750.054318962284,138,96
4558.174866820405,1.5282444170093374e-06,0.0,20,8722,16406.205726637727,130,93
4683.597585657711,1.5428947983116387e-06,0.0,20,8700,16406.993634878683,127,93
4796.393383872297,1.4936796708857042e-06,0.0,20,8616,16472.383391513387,137,94
4753.617217801449,1.5157862582600007e-06,0.0,20,8625,16429.76046175641,134,94
4867.630549207003,1.539528998087996e-06,0.0,20,8538,16528.453276812004,129,95
4757.639535603582,1.579166390974759e-06,0.0,20,8639,16514.55301995733,130,94
4853.331790950438,1.5166959430223973e-06,0.0,20,8537,16421.20084857993,130,93
4480.903369900586,1.5325712782591116e-06,0.0,20,8725,16428.914095699674,127,94
4567.43936627166,1.5113705674590824e-06,0.0,20,8623,16365.446624066435,128,93
4780.278990626548,1.527376674372592e-06,0.0,20,8591,16420.658400833345,131,94
4609.837191961698,1.5056054529137236e-06,0.0,20,8635,16294.88131696563,127,92
4631.136564121017,1.5358890544085738e-06,0.0,20,8571,16247.107601478427,132,92
4650.583811742536,1.564195076347578e-06,0.0,20,8654,16264.721800891502,133,92
4341.616056177298,1.6185648194494315e-06,0.0,20,8642,16113.910400983676,123,90
4610.616774675896,1.5298635038601577e-06,0.0,20,8558,16291.348561170114,126,92
4570.982799668238,1.5637763088051728e-06,0.0,20,8565,16228.20575893387,124,92
4422.1592750765585,1.5660777408749142e-06,0.0,20,8554,16142.332498218106,128,90
4674.959095303514,1.5570928200250816e-06,0.004511594772338867,20,8491,16262.275270536295,126,92
4591.572597371771,1.6551743547754415e-06,0.015635967254638672,20,8626,16285.702300964509,126,92
4433.457628488598,1.5107720867750213e-06,0.0,20,8649,16205.478753566875,123,91
4028.4417768184794,1.5316033767121623e-06,0.0,20,8847,15926.58368960066,113,88
4377.463632063579,1.5229929312473831e-06,0.0,20,8732,16036.883683738737,126,89
4550.903944083747,1.5085005883485156e-06,0.0,20,8508,16050.960875052475,128,90
4401.321444492476,1.473374424188443e-06,0.006509304046630859,20,8567,16000.127206575451,121,89
4285.474107193905,1.5199844331215965e-06,0.015636682510375977,20,8523,15994.387245410302,121,89
4374.191946775344,1.493396113791625e-06,0.015624046325683594,20,8414,16020.767978262795,115,89
4359.015019654342,1.5660031520121555e-06,0.01562643051147461,20,8622,16008.870754654437,121,89
4362.710059142386,1.5359240277850265e-06,0.015624523162841797,20,8687,16013.954803760658,125,89
4303.753581879582,1.6104194030773746e-06,0.0,20,8702,16054.904128759015,123,90
4207.302634999619,1.5465280943377876e-06,0.0,20,8709,16032.619947433175,125,89
4142.630088794027,1.5595185773287708e-06,0.0,20,8494,15819.389290689302,118,87
4053.2586358933786,1.431982753956289e-06,0.0,20,8722,15822.873599687344,115,87
4224.792085002638,1.535065784705863e-06,0.015624523162841797,20,8756,15880.5919090091,115,88
4012.5235383268855,1.5243782122531762e-06,0.015624046325683594,20,8778,15822.692199438718,115,86
4211.251846797355,1.5287552968818031e-06,0.015624523162841797,20,8723,15830.47089551947,118,87
4094.639630083767,1.519692516552547e-06,0.015625953674316406,20,8803,15807.43749078333,117,86
4149.617405443855,1.5643784359592883e-06,0.0,20,8550,15819.552422747467,118,87
4137.254874929675,1.5430265872052804e-06,0.0,20,8554,15873.21815209975,113,88
3926.275830297914,1.5417386966250235e-06,0.0,20,8841,15846.106051856304,113,87
4061.5769077885057,1.5553913135721455e-06,0.0,20,8866,15852.23456371846,120,87
3453.501743757222,2.7979151817322196e-06,0.0,20,11945,16555.178167633803,117,94
3542.9939438380643,2.2321665906490006e-06,0.0,20,11651,16511.99170683592,120,94
3405.4521468910066,2.5987912733722502e-06,0.0,20,11503,16585.284312365256,117,94
3322.9565099075144,2.4944825695888672e-06,0.0,20,11771,16588.46891760324,115,94
3409.383374339384,2.3727945139180984e-06,0.0,20,11438,16555.604652433798,112,94
3474.0805111752666,2.330752828900324e-06,0.0,20,11516,16649.527434882093,117,95
3392.671970984189,2.5363118041687025e-06,0.0,20,11558,16634.703645740126,118,95
3444.8491458846124,2.6594742588097026e-06,0.0,20,11637,16646.506718772358,120,95
3586.763456065592,2.6016580523962686e-06,0.006514549255371094,20,11753,16671.865177218744,117,95
3581.2564352215495,2.5450479745907288e-06,0.0,20,11647,16611.572502028626,119,95
3398.649017563434,2.8706670622798394e-06,0.0,20,11629,16331.932907769233,113,92
3289.0220921261266,2.6855204512467036e-06,0.0,20,11394,16368.61413547007,115,92
3223.1058519272824,2.818224648331221e-06,0.0,20,11870,16305.676369966945,111,92
3221.2585085579135,2.515959620296223e-06,0.0,20,11451,16266.017146314221,116,91
3177.1414911327865,2.582157083770758e-06,0.006508827209472656,20,11706,16294.966579678334,115,92
3279.5051961214067,2.461432125043872e-06,0.015637636184692383,20,11552,16282.56679706043,114,91
