rmse_I,rmse_Beta,time_predict,20,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
3999.5617958348666,1.4275592013863133e-06,0.0,20,8194,15485.623881969823,141,119
3298.6223929548883,1.4812364423385444e-06,0.0,20,8297,14844.801807786966,147,126
3523.8952627186627,1.4280407799039408e-06,0.009999990463256836,20,8302,14791.221667097416,136,119
3591.5466455828905,1.4729383231606124e-06,0.010000944137573242,20,8129,14891.337773312613,153,121
3754.248737173499,1.4173558638856605e-06,0.0,20,8431,14968.746762257068,139,118
3537.813132937254,1.454575280448522e-06,0.0,20,8203,14789.926490887563,146,120
3996.1233473319103,1.433542916203413e-06,0.0,20,8329,15011.52146590554,143,114
4279.26189760144,1.4227053853174174e-06,0.009998798370361328,20,8337,15438.011540163267,141,113
3975.4400830984096,1.4210398830350892e-06,0.010000228881835938,20,8161,15097.163100001022,145,118
3667.1771295899985,1.4356994254490007e-06,0.0,20,8530,15180.623794972582,142,120
3200.6773174133928,1.4573597522459302e-06,0.0,20,8446,14470.364434120102,134,117
3112.70145641571,1.5032015933185246e-06,0.0026443004608154297,20,8347,14365.956346136161,141,122
3255.4733567067706,1.4115617746616812e-06,0.01000070571899414,20,8431,14454.829334543892,131,114
3144.270074594925,1.4022621622237915e-06,0.009999990463256836,20,8596,14378.955288985691,140,116
3280.84897285913,1.4940849621465533e-06,0.010013103485107422,20,8557,14496.585788057,138,117
3738.4671191756765,1.4920817014634861e-06,0.0,20,8524,14878.975911409781,138,110
3304.9899362090496,1.4979183753156093e-06,0.0,20,8683,14666.843212662816,136,114
3093.134746312211,1.5025652584081147e-06,0.003999233245849609,20,8448,14293.745522369445,140,115
3166.7923947278828,1.532587162376599e-06,0.004001617431640625,20,8293,14538.578301787906,137,122
3592.2692649136034,1.478682034128514e-06,0.0039975643157958984,20,8581,14759.990766227846,138,113
2791.953412193056,1.470578380422195e-06,0.0039980411529541016,20,8722,14001.723254585328,130,112
