rmse_I,rmse_Beta,time_predict,20,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2671.8728632927405,7.870255759352983e-07,0.0,20,8194,10786.636672012362,141,113
1935.7550171234852,9.309839318971083e-07,0.0,20,8297,9382.599467086115,147,116
2574.0256772739363,8.327579925528262e-07,0.0,20,8302,10669.96644396893,136,109
2303.1862206130163,8.885236736266562e-07,0.0010082721710205078,20,8129,10001.021051122467,153,113
2796.5769325342308,8.165459970300715e-07,0.015635251998901367,20,8431,10875.721887041724,139,109
2544.3159413270405,8.760108626164711e-07,0.0,20,8203,10557.459479288518,146,110
3221.485370755734,8.24246456021115e-07,0.0,20,8329,11570.583391586575,143,105
3265.117096663292,7.61312804627361e-07,0.0,20,8337,11629.850307504452,141,107
2790.244898166582,7.90419235349796e-07,0.0,20,8161,10612.87015203437,145,111
2897.4237704170805,8.14261196244622e-07,0.0,20,8530,11322.345621822711,142,109
2461.2063811989897,9.089982005192522e-07,0.0,20,8446,10779.682145490018,134,106
2136.4156235365726,9.629087029279783e-07,0.0,20,8347,9910.534535074856,141,110
2826.628720138386,8.62262938939613e-07,0.0,20,8431,11707.693004794255,131,102
2477.7731871887627,8.461499445594541e-07,0.0,20,8596,10872.968979292647,140,105
2618.821763732759,9.247490906702233e-07,0.0,20,8557,11013.674790097832,138,105
2958.812981924701,8.798367800157847e-07,0.0,20,8524,11694.430994910255,138,102
2323.7393648876355,9.662578181926365e-07,0.0,20,8683,10762.551749018376,136,106
2205.1040621441866,9.983947210646473e-07,0.0,20,8448,10499.975645544697,140,106
2100.667208755622,9.848801613718799e-07,0.0,20,8293,9927.271437988345,137,112
3062.2864546463466,8.62689769723748e-07,0.0,20,8581,11855.671561374036,138,102
2336.6707574144693,9.72677023680246e-07,0.01563739776611328,20,8722,11191.025154100036,130,101
2739.359152135055,9.749009738726038e-07,0.015624761581420898,20,8700,11725.277091481174,127,99
2581.6647794783116,8.908945139944503e-07,0.0,20,8616,11244.987246285382,137,101
1906.016111357671,9.82088796521836e-07,0.015625476837158203,20,8625,9916.42351970417,134,105
2039.1529382160277,9.804577948660016e-07,0.015624046325683594,20,8538,10067.388234234846,129,106
2355.7796725866892,1.0148624920763917e-06,0.015625476837158203,20,8639,10911.621321040597,130,103
2493.496843795458,9.400290989211893e-07,0.0,20,8537,10870.695857042912,130,102
2190.4625721363345,9.561755695124567e-07,0.0,20,8725,11071.006197068167,127,101
2051.8124423982517,9.646145497292788e-07,0.0,20,8623,10548.463670182007,128,102
1885.086282169032,1.0043886330871381e-06,0.0,20,8591,9829.546485514138,131,106
2262.0718063956497,9.607705468724986e-07,0.0,20,8635,10779.333504470424,127,100
2452.751576886933,1.0109599565156075e-06,0.0,20,8571,11086.807700220628,132,99
1931.1213655040985,1.0988738142449213e-06,0.0,20,8654,9960.109798565149,133,103
2174.9775270575205,1.1445422961809465e-06,0.0,20,8642,10973.162278499354,123,97
2157.7856692172554,9.998126894601895e-07,0.0,20,8558,10599.510912103207,126,101
2359.3192393118006,1.0453583514906868e-06,0.0,20,8565,10988.413502369425,124,99
2012.583277986272,1.0913200876926815e-06,0.0,20,8554,10492.655890203854,128,99
2476.8147477043067,9.944684308729877e-07,0.0,20,8491,11066.706136639259,126,99
2012.4544201946185,1.1976079428685283e-06,0.005009651184082031,20,8626,10289.675746238338,126,102
2133.143012011311,1.030646043966934e-06,0.015639066696166992,20,8649,10790.305374548587,123,99
2125.025411459197,1.1304097809901471e-06,0.015625,20,8847,11311.944874296274,113,93
1951.8881565563536,1.0978766501026251e-06,0.015625715255737305,20,8732,10316.324599176367,126,98
2652.1033447222603,9.754242400344512e-07,0.015625715255737305,20,8508,11445.237731466092,128,95
2642.763871472133,9.448689563942158e-07,0.01562356948852539,20,8567,11708.957960698119,121,94
2343.892101073323,1.0082296971281074e-06,0.015625,20,8523,11334.885938693871,121,94
2407.5232574539305,9.679215331634786e-07,0.0,20,8414,11272.280400425116,115,95
2010.9898724093507,1.097225838198966e-06,0.0,20,8622,10452.798195181034,121,97
2154.080387301838,1.0883382899925686e-06,0.0,20,8687,10764.878352497244,125,97
2372.9954777863663,1.1350157000336028e-06,0.0,20,8702,11409.217864265776,123,95
2649.2709626482947,1.0333633673128664e-06,0.003000020980834961,20,8709,12160.440297115392,125,93
2176.3255064072255,1.172297307225228e-06,0.0029997825622558594,20,8494,11037.229072131839,118,93
2141.2446694690716,1.0091124689593515e-06,0.002999544143676758,20,8722,11187.197881444488,115,92
2284.3855495909247,1.0815642495654976e-06,0.0030019283294677734,20,8756,11208.606287103983,115,93
2251.413292429067,1.1210358374927894e-06,0.0029997825622558594,20,8778,11492.758772111227,115,91
