rmse_I,rmse_Beta,time_predict,30,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
3814.186593586224,7.369320621122149e-07,0.013387441635131836,30,8194,13036.453347783065,141,107
3763.46556400154,8.151772648442099e-07,0.0,30,8297,13000.378425978035,147,105
3941.471708032629,7.585904523312097e-07,0.0,30,8302,13509.516945226958,136,102
3832.7826607913585,8.020043010026802e-07,0.008511066436767578,30,8129,13099.809546579168,153,104
3892.1360749535525,7.586860352711043e-07,0.0,30,8431,13184.678299319241,139,104
3874.8253395563524,7.939998557858474e-07,0.0,30,8203,13340.547582483765,146,103
4191.909387774367,7.795094360125786e-07,0.0,30,8329,13739.996515068373,143,102
3971.162877088836,7.353819552391054e-07,0.0,30,8337,13165.314344548386,141,105
3902.466005070094,7.376919198593438e-07,0.0,30,8161,12953.226661622395,145,106
3703.0173090791295,7.751804746443803e-07,0.010013103485107422,30,8530,13035.699296938265,142,106
3448.903689672523,8.406702033643495e-07,0.015637874603271484,30,8446,12906.693029508371,134,102
3515.3583403206108,8.594845183382826e-07,0.015625715255737305,30,8347,12847.84479456347,141,103
3642.0107208841764,8.090417190833527e-07,0.0,30,8431,13542.680441890361,131,99
3523.303208613099,7.759799786482607e-07,0.0,30,8596,13132.417758454121,140,101
3384.6567691900846,8.720992203214883e-07,0.0,30,8557,12739.342906664308,138,103
3517.641086412419,8.423128414921057e-07,0.008513212203979492,30,8524,13087.986219425144,138,102
3580.461888302722,8.797168308847381e-07,0.0,30,8683,13379.884021164557,136,100
3415.040314467417,8.983807547919646e-07,0.0,30,8448,13178.940006382256,140,100
3359.534549719579,8.939343092801325e-07,0.0,30,8293,12561.615903169746,137,105
3662.885139819771,8.300388719966514e-07,0.0,30,8581,13238.263817731617,138,101
3299.1241186721636,8.937630008654626e-07,0.0,30,8722,13350.85615895863,130,97
3462.671743090308,9.173310774017312e-07,0.006513357162475586,30,8700,13437.849943622065,127,97
3546.976001094293,8.200778219775776e-07,0.015637636184692383,30,8616,13406.67173983755,137,98
3157.2294859736835,8.610256722240229e-07,0.0,30,8625,12827.495592208805,134,100
3353.0934329502506,8.732810187008189e-07,0.0,30,8538,12852.95344686667,129,100
3243.855677527661,9.454259454980873e-07,0.0,30,8639,12866.419775587045,130,99
3399.4664474059664,8.616645731355758e-07,0.0,30,8537,12982.678595335372,130,99
