rmse_I,rmse_Beta,time_predict,30,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
5207.548951372367,2.385145570531893e-06,0.0070629119873046875,30,8194,17612.16953913411,141,112
5068.06505937602,2.338752517342383e-06,0.0,30,8297,17318.42347297676,147,110
4917.971153532902,2.3365801100833623e-06,0.0,30,8302,17107.660145121845,136,110
5065.411159002909,2.358218108494296e-06,0.0,30,8129,17236.137071934052,153,110
5057.856716567076,2.3464121099927886e-06,0.0,30,8431,17220.812051646037,139,110
4957.288718055267,2.3102755794376007e-06,0.0,30,8203,17145.88144454036,146,110
5044.715816845054,2.3137288503498096e-06,0.0,30,8329,17090.578697030953,143,110
5190.731077537424,2.377009700269057e-06,0.0,30,8337,17337.71286602796,141,110
5259.25228599972,2.402584453040572e-06,0.0,30,8161,17399.988483139838,145,111
5039.496168772134,2.3374048269347286e-06,0.0156400203704834,30,8530,17471.11180129582,142,111
4570.595291549992,2.26028854580222e-06,0.015622615814208984,30,8446,16726.476707810354,134,108
4748.844689538725,2.2797861952578535e-06,0.0,30,8347,16901.05813855318,141,109
4395.970817113967,2.237246362551953e-06,0.0,30,8431,16505.512307508856,131,107
4472.116117254457,2.2984552843926714e-06,0.0,30,8596,16586.090308822226,140,108
4604.327387450056,2.2581876984115834e-06,0.0,30,8557,16759.16985930937,138,108
4558.317503847771,2.2724352404722293e-06,0.0,30,8524,16726.123839468622,138,108
4425.95729758111,2.226020514495432e-06,0.0,30,8683,16639.086873737382,136,107
4356.200117050205,2.203132142387136e-06,0.0,30,8448,16548.772149534783,140,107
4782.043181817524,2.279763255380161e-06,0.0,30,8293,17020.507329530243,137,109
4620.36298475114,2.2803339671851314e-06,0.0,30,8581,16696.870885709795,138,108
3973.0649277240686,2.1627756013169468e-06,0.0,30,8722,16076.034212710703,130,105
4096.423773535916,2.1525641807682894e-06,0.0,30,8700,16090.660283612731,127,105
4228.166331164162,2.228155037328373e-06,0.0,30,8616,16198.23843899397,137,106
4152.96185772121,2.2267079373468686e-06,0.0,30,8625,16295.831337490416,134,106
4350.3939756012105,2.220738300289795e-06,0.0,30,8538,16299.31070026191,129,106
4226.225130916519,2.1832522101700834e-06,0.0,30,8639,16268.719200604137,130,106
4292.729276402693,2.205975951831059e-06,0.0,30,8537,16172.40046029525,130,105
3917.8469043718237,2.1970234325252034e-06,0.0,30,8725,16097.005930944659,127,105
3984.4146946044984,2.2057463391119726e-06,0.006513118743896484,30,8623,15937.483865809523,128,104
4192.463733321853,2.201484963797529e-06,0.0,30,8591,16210.015859442354,131,106
3991.40018603155,2.176268892976292e-06,0.015624046325683594,30,8635,15941.61262956138,127,104
4025.0668517203676,2.1519560279077755e-06,0.015625953674316406,30,8571,15769.821911321207,132,104
4033.700450452162,2.125851775883579e-06,0.01562809944152832,30,8654,15902.275699218124,133,105
3700.136442480213,2.0778088351300507e-06,0.01562190055847168,30,8642,15472.821529558723,123,102
4009.9740690817007,2.1683845085882373e-06,0.015624523162841797,30,8558,15855.079098078422,126,104
3962.5560995132523,2.12184750796238e-06,0.0,30,8565,15746.24260999599,124,103
3765.5835734248826,2.102396749897096e-06,0.0,30,8554,15589.42740434148,128,102
4080.387889597538,2.1832152346820247e-06,0.0,30,8491,15813.215355308635,126,104
4011.4919011320326,2.093257330698619e-06,0.0,30,8626,15806.713928094574,126,104
3790.0773724544147,2.1302727589868648e-06,0.0,30,8649,15698.65293740874,123,103
3276.474845428852,1.9917717915294494e-06,0.0,30,8847,15176.408259700338,113,100
3675.0855830466817,2.1019092599671104e-06,0.006510019302368164,30,8732,15381.171138777856,126,102
3865.3596362325297,2.140000814899836e-06,0.015635967254638672,30,8508,15464.7868404824,128,102
3730.1917628909373,2.1386711268306217e-06,0.015625476837158203,30,8567,15299.797522820414,121,101
3611.975259331335,2.1202361333470935e-06,0.0,30,8523,15268.232870629834,121,101
3691.7894282595985,2.143444890769919e-06,0.0,30,8414,15356.668434933683,115,102
3666.7507575264544,2.119897922758465e-06,0.0,30,8622,15345.038147273195,121,101
