rmse_I,rmse_Beta,time_predict,40,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
1302.8180023294542,9.850734334990127e-07,0.0,40,8194,7512.3255871599995,141,127
1480.6391273468905,1.1548423585129895e-06,0.011003732681274414,40,8297,6183.641731875922,147,130
1668.9185601367283,1.156818552250638e-06,0.011002063751220703,40,8302,5589.826289184937,136,129
1329.9272709259005,1.0628755537266352e-06,0.010998964309692383,40,8129,7371.897535311566,153,125
2119.910835553237,1.1948213454004984e-06,0.010998725891113281,40,8431,4865.083020493192,139,132
1340.0322920092985,1.12563447283286e-06,0.010999441146850586,40,8203,6696.928151364636,146,126
1407.510783145733,1.098072986957125e-06,0.010999679565429688,40,8329,6845.22036954266,143,126
1854.1587958026748,1.1254075111639014e-06,0.0110015869140625,40,8337,5326.3485950073555,141,133
1494.5484663413943,1.045000200327516e-06,0.01100015640258789,40,8161,6322.144635725967,145,130
1238.7058546470864,1.0600516943255179e-06,0.010999441146850586,40,8530,7172.653267725334,142,128
1837.953803796187,1.2624074267974546e-06,0.01099848747253418,40,8446,5490.847584468757,134,124
1242.6135395341914,1.1279927972727512e-06,0.010999679565429688,40,8347,7621.222209477646,141,121
1639.3896979133617,1.2407313477504967e-06,0.011002779006958008,40,8431,5907.092749460578,131,120
1304.1148015120134,1.1023885700730018e-06,0.011000633239746094,40,8596,6904.188216005217,140,121
1774.3484859602502,1.2764802638448767e-06,0.010999202728271484,40,8557,5633.358406043824,138,124
1377.0252111141538,1.1995539044997007e-06,0.010999202728271484,40,8524,6478.434276348754,138,122
1320.0869865941784,1.2261959800206208e-06,0.011002302169799805,40,8683,6921.129921013366,136,121
1264.7607306896145,1.24622994751413e-06,0.01099848747253418,40,8448,6940.599356686409,140,120
1393.1549109390712,1.2262647419758992e-06,0.010997533798217773,40,8293,6434.867229851114,137,125
1252.9131999203528,1.1218282566645304e-06,0.0,40,8581,7459.554429981856,138,120
1390.9244967885277,1.2906952535367356e-06,0.0,40,8722,6642.047419672847,130,114
1324.0778162638167,1.2957873909920208e-06,0.011000633239746094,40,8700,6911.347703549931,127,115
1642.9747414152812,1.2369645133241261e-06,0.0,40,8616,6122.605315337856,137,116
1577.967268958219,1.2582368975319354e-06,0.0,40,8625,6143.970884569059,134,118
1285.2250646407967,1.1794022813008574e-06,0.0,40,8538,7412.417540746183,129,116
1344.7769000098003,1.2903872101364993e-06,0.011000394821166992,40,8639,6980.5010751964055,130,116
1831.372060572331,1.3065198770401412e-06,0.010998249053955078,40,8537,5613.383265121011,130,117
1239.3504658947863,1.236935276035369e-06,0.011000633239746094,40,8725,7090.922523137782,127,114
1224.1177594118028,1.2115708119489565e-06,0.011002302169799805,40,8623,7150.880181424685,128,112
1136.3277775264596,1.159823950225682e-06,0.011002540588378906,40,8591,7793.183742475157,131,116
1588.1387119622088,1.286887903876419e-06,0.010997533798217773,40,8635,6209.4802834480715,127,114
1388.1166346130387,1.3105245338187557e-06,0.010999917984008789,40,8571,6876.632868575378,132,111
1432.9777940900217,1.3492137461794238e-06,0.010998249053955078,40,8654,6761.508644532646,133,113
1519.9593518204654,1.48350817663683e-06,0.011000394821166992,40,8642,6453.637532594867,123,107
1637.379909037307,1.333373724900353e-06,0.0110015869140625,40,8558,6033.036176208102,126,112
1869.3648027486508,1.438582985272917e-06,0.010998964309692383,40,8565,5595.901643521681,124,111
1792.9267647021254,1.4494274206125098e-06,0.011001110076904297,40,8554,5831.673153234605,128,108
1254.804136674633,1.238553271224107e-06,0.010999679565429688,40,8491,7531.244906427557,126,111
1427.7215711282665,1.4725435738582458e-06,0.010999679565429688,40,8626,6692.005590174458,126,112
1215.1505542246864,1.2766881507297055e-06,0.010998964309692383,40,8649,7451.481339032392,123,110
1253.2488670277353,1.4345304497409385e-06,0.011000871658325195,40,8847,7369.508257725233,113,104
