rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
3956.0013919107446,7.316583135329532e-07,0.004341840744018555,27,8026,13291.92186361693,142,104
6474.283087843087,9.141967580828664e-07,0.0035185813903808594,10,8196,18553.24223518846,138,83
5208.1115015258065,7.904607413242785e-07,0.0039980411529541016,19,8340,15630.17048627549,144,93
6121.615039970791,8.730186949405022e-07,0.004006862640380859,12,8406,17638.209006106666,137,86
5309.324351094558,8.138923595872786e-07,0.004006862640380859,17,8312,16412.881075037516,136,91
6519.5981524414765,9.40316311960435e-07,0.0029959678649902344,12,8425,18619.49174283356,140,82
5339.123483007681,7.568930725997346e-07,0.0039958953857421875,19,8092,15758.945648664137,143,93
6126.564075638983,8.616898357427595e-07,0.0029985904693603516,11,8315,17710.21552761061,142,86
5523.069939036823,8.286061337921425e-07,0.004523277282714844,17,8483,16505.87823161686,145,89
5600.486666311138,8.32700893150725e-07,0.002501249313354492,17,8206,16584.633442813643,143,89
6299.884039951537,9.125507978235414e-07,0.003000020980834961,11,8387,18313.33072694169,142,82
6556.221551437425,9.501666548686166e-07,0.003996610641479492,10,8401,18962.736526914152,137,81
4907.863018386186,7.56393571756885e-07,0.004007577896118164,21,8276,15194.38325066327,143,94
4409.4988937535445,7.604381496699339e-07,0.003502368927001953,23,8186,14124.376115811385,140,101
6256.166346022577,9.352793318380835e-07,0.0029990673065185547,11,8365,18334.404981671516,141,83
5304.608075550618,7.600799567927084e-07,0.002997875213623047,18,8189,15415.47650074374,147,95
5569.297533508187,8.395953991590003e-07,0.0035130977630615234,16,8225,16711.433858047163,139,88
5351.027101329527,8.154988133413396e-07,0.0040645599365234375,18,8313,15936.496762355293,137,92
6514.733579285441,9.592243824017395e-07,0.0030798912048339844,10,8370,18809.111815494827,144,81
5436.829939752461,7.643387059785094e-07,0.003507852554321289,16,8216,15933.146109060923,143,92
