rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
1788.6344481288513,1.0791659903143969e-06,0.0065042972564697266,27,8026,5034.617886057996,142,138
5494.34435787535,7.713373341737174e-07,0.0075092315673828125,10,8196,16299.447858311903,138,90
1285.3473413578079,9.746375889452538e-07,0.00650334358215332,19,8340,7522.506236439914,144,125
3280.0383844583553,7.974145729076709e-07,0.006509065628051758,12,8406,11934.880460569735,137,106
1418.5509463657984,9.297401788940013e-07,0.006501674652099609,17,8312,8847.203191817398,136,120
4576.212212087539,7.489584254123312e-07,0.006510257720947266,12,8425,14297.134523063418,140,95
2174.505887055693,8.256926177928687e-07,0.006510496139526367,19,8092,9538.682367482199,143,115
4590.1796662052175,7.336453389385518e-07,0.007505893707275391,11,8315,14416.102075350396,142,97
2331.314926262549,8.955498294217814e-07,0.009513616561889648,17,8483,10258.414192732414,145,111
3019.708641630236,8.33142946233899e-07,0.0070018768310546875,17,8206,11342.880630831749,143,107
4017.97657086156,7.655957383159506e-07,0.008096694946289062,11,8387,13476.702482600273,142,98
4547.9390963620335,7.504848247571279e-07,0.006508588790893555,10,8401,14553.069616943885,137,95
1259.2866835049276,9.784037459529597e-07,0.009518861770629883,21,8276,7438.922206433957,143,123
1253.8146431715923,9.545169985889343e-07,0.010066747665405273,23,8186,7772.86537465182,140,126
4872.846979530161,8.150349135581177e-07,0.00852060317993164,11,8365,15273.595997525517,141,92
1771.6812217486463,8.690707403020887e-07,0.0075130462646484375,18,8189,8600.692639223356,147,122
2391.9480448256736,8.778883692493422e-07,0.006506681442260742,16,8225,10414.840959330368,139,110
2019.1328617090924,9.211788199267057e-07,0.008512020111083984,18,8313,9441.815400646337,137,115
4198.206467478519,7.781981231578283e-07,0.008514881134033203,10,8370,13830.31996660232,144,97
2941.224014717633,7.568037673725703e-07,0.008515596389770508,16,8216,11074.17413672477,143,110
3459.3444821563307,8.04978440873444e-07,0.005999326705932617,15,8294,12087.71660121258,151,105
3236.4163321565115,7.922579723239303e-07,0.007044553756713867,14,8326,12027.959669373118,146,106
2677.5109735584533,7.940946557677656e-07,0.006504058837890625,17,8329,10885.084895236612,142,110
5963.452951067612,8.124988543590845e-07,0.006501913070678711,12,7999,17301.13736060164,156,87
2508.0975894859807,8.126394410895235e-07,0.007008790969848633,14,8191,10366.099762979751,144,113
1363.2853911268446,9.887432493539637e-07,0.005997896194458008,27,8285,6567.93855458941,141,129
3988.6289876650812,7.753438128131519e-07,0.005995750427246094,10,8382,13302.084527646251,140,99
3506.373161223817,8.253246164885718e-07,0.0060083866119384766,17,8521,12752.159672730442,142,103
2036.0016524106888,8.694072417607084e-07,0.006500959396362305,17,8320,9437.162649561607,147,117
3802.63839248446,7.120778748922128e-07,0.007512092590332031,15,8148,12838.185932771901,145,101
4323.446129879751,7.008132933216034e-07,0.00650787353515625,12,8185,13914.91440156926,154,97
3280.82897161896,8.025120003411624e-07,0.0075228214263916016,17,8289,12005.142367858814,146,105
3553.190030297484,7.695745638817264e-07,0.007513761520385742,15,8364,12528.199271655147,142,103
2778.5805534705496,7.619442197443615e-07,0.008509397506713867,16,8325,10873.768355212093,146,112
3524.314630998781,7.599433889059418e-07,0.0075037479400634766,13,8247,11885.895248924864,145,106
4710.913824822784,7.839651976025074e-07,0.0075054168701171875,10,8452,14840.051454642931,141,93
2278.0721500691598,8.773371585668548e-07,0.006504058837890625,17,8352,10193.995632082348,137,113
1377.297467082598,9.253701433157147e-07,0.006508588790893555,20,8095,8130.448025506063,140,120
3561.065740915913,7.922117558987302e-07,0.0065038204193115234,15,8215,12145.56538515072,152,104
1602.3977573608092,9.034643823792348e-07,0.00650477409362793,22,8395,8232.58163725086,146,124
4547.996211502459,8.072975150249868e-07,0.009064435958862305,10,8234,14475.260211026647,141,93
3476.390301398304,8.442346239156267e-07,0.006506204605102539,12,8370,12838.052479885704,136,99
2558.228683126748,8.599254664132371e-07,0.006508827209472656,19,8237,10530.666257733163,142,106
2527.7158817928935,8.196327089072365e-07,0.00650334358215332,19,8276,10936.92528436351,138,107
3776.0365554993477,8.486522492142083e-07,0.006509542465209961,17,8483,13245.51626013815,132,97
4186.2951795035,7.838755676093911e-07,0.006506919860839844,10,8458,13757.296807119705,141,95
3793.6518999935447,8.000087322527867e-07,0.006501674652099609,16,8561,13185.374115586319,135,98
3376.5320318711033,8.182852999469211e-07,0.0059947967529296875,12,8238,12596.034229434314,135,99
4152.856123352485,8.407545252735724e-07,0.0059964656829833984,10,8514,14419.809992126324,141,92
5323.308786890212,8.516646026264607e-07,0.005998849868774414,10,8504,16535.388904395466,130,87
3957.395362381651,7.378859002769477e-07,0.006001710891723633,10,8633,13681.24983017601,137,95
3033.455802578158,8.338290313430017e-07,0.006000995635986328,13,8143,11784.222390288885,135,102
2058.4218447131702,9.797391307438253e-07,0.0075054168701171875,18,8327,9712.005727304557,139,110
3593.8415606127414,8.575876627263856e-07,0.0059986114501953125,17,8509,12708.70017032412,137,100
4713.597792828522,8.122357016807908e-07,0.006994962692260742,12,8363,14993.423174321719,136,91
2524.0943515635995,8.353181156185076e-07,0.007994890213012695,16,8418,10930.497888118958,138,106
3280.2276774037573,8.711454345586541e-07,0.004996776580810547,17,8576,12376.394382785888,133,99
4157.810602747888,8.047646423208573e-07,0.006994962692260742,13,8237,13805.198897526823,135,96
2301.254658921646,9.306438360785549e-07,0.006995677947998047,16,8219,10314.070564358335,138,107
3153.3987744501906,8.124058690263317e-07,0.0059986114501953125,18,8351,11547.191395967278,142,104
2321.0383558312915,9.417095337968602e-07,0.007401227951049805,10,8589,10833.490574661704,131,106
3875.7135701378356,8.119678782803425e-07,0.007005929946899414,13,8165,13536.412271776657,140,95
4703.5732372657085,7.520945577510798e-07,0.007509708404541016,11,8353,14927.072960077978,140,91
3728.207305487241,8.074244473659206e-07,0.007005214691162109,12,8185,13004.707383321082,139,97
4356.688261529483,7.971539086245926e-07,0.007275581359863281,10,8179,14126.474518885301,140,92
4077.774721089457,8.21130047943204e-07,0.006997585296630859,10,8688,14120.535270004497,133,94
3572.934700550295,7.642812425697334e-07,0.007511138916015625,13,8383,12394.697523436429,142,100
4098.475183989665,7.807737820627958e-07,0.007517576217651367,12,8177,13639.650459227207,139,96
2432.840285468498,9.027315871077361e-07,0.008142709732055664,18,8421,10701.59803685134,135,105
4055.7967975550714,8.321924839090974e-07,0.008996009826660156,14,8432,13685.318952367781,143,96
