rmse_I,rmse_Beta,time_predict,roll_var,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
5303.362998768828,2.221248613957583e-06,0.02300238609313965,32,8194,1440.3361952132893,141,38
5262.516217218814,2.270885989677512e-06,0.0030002593994140625,22,8297,1112.3373430194192,147,28
5242.2231325750545,2.254472815314171e-06,0.003999233245849609,25,8302,1324.7686031643266,136,31
5240.798939448999,2.2445340602767157e-06,0.004000425338745117,19,8129,1048.9391467183052,153,25
5231.570019102238,2.215837483773354e-06,0.0039980411529541016,14,8431,881.7934765181823,139,21
5251.897689953927,2.2827459677026394e-06,0.003000020980834961,22,8203,1213.5181572621095,146,28
5254.993831256391,2.2521714272736094e-06,0.003999948501586914,18,8329,1087.4120522777785,143,26
5212.153465771554,2.1841719856519194e-06,0.0030002593994140625,16,8337,932.9939712354239,141,24
5234.286327038029,2.172350523652093e-06,0.004000663757324219,21,8161,1135.7167828191914,145,29
5302.011497890259,2.2525340354605898e-06,0.003998517990112305,23,8530,1130.498242734865,142,30
5336.399763415226,2.331393592602435e-06,0.003999948501586914,24,8446,1463.8884185266706,134,31
5281.449451371044,2.3418552969900807e-06,0.0029993057250976562,25,8347,1413.7674987984244,141,30
5239.35944964304,2.318411098380672e-06,0.004000186920166016,14,8431,1085.4387203334327,131,22
5261.652598584653,2.25959924968779e-06,0.003998756408691406,14,8596,1053.9142831068123,140,22
5268.872385458133,2.326799128170474e-06,0.003000497817993164,16,8557,1130.3475648809363,138,24
5231.530071207134,2.3173002760530255e-06,0.003000497817993164,17,8524,1166.785364315251,138,25
5349.429513610537,2.372017963221429e-06,0.004001140594482422,18,8683,1171.8347680257132,136,25
5283.846048439099,2.3864804095672697e-06,0.00500035285949707,15,8448,1124.4317900027927,140,22
5201.156050473426,2.3210078632221896e-06,0.0029985904693603516,14,8293,961.0711378354276,137,22
5325.296263456889,2.3229501434249e-06,0.00400233268737793,23,8581,1403.7278858555912,138,30
5301.211324972584,2.4068703758921933e-06,0.003998994827270508,15,8722,1248.3492243593344,130,23
