rmse_I,rmse_Beta,time_predict,roll_var,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
3599.9789774245655,7.447433092255866e-07,0.004000425338745117,32,8194,12664.565936496916,141,108
4692.145486134397,7.940551660640466e-07,0.0039997100830078125,22,8297,14706.871573770502,147,97
4541.204539846977,7.49872242320351e-07,0.0039997100830078125,25,8302,14590.803371809187,136,98
5154.20420604384,7.964923477416994e-07,0.003998517990112305,19,8129,15616.049852682632,153,93
6096.377966686821,8.379359040361886e-07,0.004000663757324219,14,8431,17542.052026374677,139,86
4907.879733422189,7.801058615309681e-07,0.0040013790130615234,22,8203,15249.896190713944,146,94
5785.551917430088,8.186062779235705e-07,0.003999948501586914,18,8329,16862.996040982307,143,88
5709.885052760359,7.770520108539563e-07,0.003999471664428711,16,8337,16536.657837688115,141,90
5139.564170493007,7.46017414874766e-07,0.004003047943115234,21,8161,15224.533560510667,145,95
4450.532647250492,7.543974858173345e-07,0.00799870491027832,23,8530,14356.781354831995,142,100
4194.512876522912,8.101091867171391e-07,0.004000186920166016,24,8446,14216.073966732902,134,96
4140.140714740337,8.328361598652076e-07,0.0039997100830078125,25,8347,13937.816564498004,141,98
5730.0281040740465,8.395713133433339e-07,0.003998517990112305,14,8431,17727.32008690501,131,82
5753.1831385782825,8.215870267281541e-07,0.0039975643157958984,14,8596,17477.27073407917,140,83
5316.081548607081,8.399038372092406e-07,0.004000186920166016,16,8557,16343.851410847565,138,87
5200.929599667759,8.189545098450988e-07,0.003999471664428711,17,8524,16236.878144941671,138,88
5079.075762398445,8.477776246041806e-07,0.003999471664428711,18,8683,16207.619069227198,136,89
5553.616411093195,8.79352145853442e-07,0.003999471664428711,15,8448,17331.06629920832,140,83
5539.097491869751,8.698365391645434e-07,0.0040013790130615234,14,8293,16757.52165143947,137,87
4467.091434773439,8.036702292624191e-07,0.003998994827270508,23,8581,14715.241904113573,138,94
5277.93891013252,8.610254214917939e-07,0.003999233245849609,15,8722,17206.141171265772,130,82
5544.284442359455,8.865741702317996e-07,0.003999948501586914,14,8700,17554.88577145997,127,81
5108.396344965407,8.010907141000291e-07,0.0039997100830078125,18,8616,16401.61690729023,137,86
5637.475852772548,8.552667306281575e-07,0.0,14,8625,17549.754385717275,134,81
5474.936424509642,8.443939966159648e-07,0.0,14,8538,17021.15897699025,129,83
5258.498780881386,8.846384553932089e-07,0.004001140594482422,14,8639,16817.545596114633,130,84
5623.586814863541,8.493684078798884e-07,0.0039975643157958984,14,8537,17426.71190859985,130,81
4537.470283463788,8.281225063031172e-07,0.0039975643157958984,19,8725,15802.004603624451,127,87
5565.648799781619,8.614655311909404e-07,0.003999948501586914,14,8623,17821.127567349045,128,79
5519.559480465114,8.497744487082934e-07,0.004000186920166016,14,8591,17238.447708367767,131,82
4317.164226834606,8.218478073420492e-07,0.004001617431640625,20,8635,15000.549043815967,127,88
5390.220404789603,8.790842430454349e-07,0.004001140594482422,14,8571,17223.12635132695,132,80
5418.590049676805,8.987664480757184e-07,0.004002809524536133,14,8654,17174.70284986526,133,80
5356.173188225629,9.719068977025457e-07,0.0039975643157958984,15,8642,17774.076007359577,123,78
4624.312647246341,8.40073224151039e-07,0.0,17,8558,15620.825488134316,126,86
5368.841183382207,8.978968036341755e-07,0.0,14,8565,17246.931942899027,124,80
5184.494737140945,9.059337477308005e-07,0.003999948501586914,15,8554,17167.179717869996,128,80
5379.222276612845,8.778161252168339e-07,0.0039980411529541016,14,8491,17131.16924535412,126,81
5271.060660161185,9.92591804737036e-07,0.0,14,8626,17026.226983767076,126,81
4983.942035188171,8.692564954662163e-07,0.003999471664428711,16,8649,16704.694059439462,123,82
5183.486490577011,9.390263817869941e-07,0.004001140594482422,15,8847,17964.908531254623,113,76
5208.01703005135,9.003723442529191e-07,0.00400233268737793,14,8732,17201.59723217481,126,78
5026.979855640476,8.50733660659396e-07,0.003999948501586914,16,8508,16546.760117883045,128,81
5364.111237356442,8.501012723939082e-07,0.0,14,8567,17612.108689473083,121,77
4790.452400061564,8.577556264085483e-07,0.003998756408691406,15,8523,16589.010374854774,121,80
5089.147936667693,8.394882984046118e-07,0.003999471664428711,14,8414,17034.22204659695,115,79
5347.998280025342,9.22090432964608e-07,0.004001140594482422,14,8622,17632.40477780062,121,77
5241.26366963114,9.046643901395463e-07,0.004000186920166016,14,8687,17336.022359404113,125,78
4982.916013389949,9.65925698567616e-07,0.0039975643157958984,14,8702,16942.572015505822,123,80
4853.944232537556,9.067674802832106e-07,0.004000425338745117,14,8709,16775.670348338444,125,79
5101.586401087241,9.654041109299996e-07,0.003999471664428711,14,8494,17503.06647635622,118,75
4984.1869155559825,8.471920113727809e-07,0.003999233245849609,14,8722,17351.58725285184,115,75
4994.592082199781,9.042468876045526e-07,0.003999233245849609,14,8756,16995.61921037308,115,77
5105.613163745085,9.479823323651868e-07,0.004000425338745117,14,8778,17746.920754098188,115,75
5201.716615456804,9.303140595948457e-07,0.003998756408691406,14,8723,17491.91984904326,118,75
4992.150153151443,9.209858639980457e-07,0.003999233245849609,14,8803,17256.402786383514,117,76
4913.803313474447,9.264526991274147e-07,0.003999948501586914,15,8550,17035.619080465578,118,77
5040.209300997192,9.119345847435643e-07,0.003999948501586914,14,8554,17324.6737107254,113,77
4804.102387502613,9.356447310870459e-07,0.004002571105957031,14,8841,17209.76847223414,113,76
4854.039147303587,9.372544627683203e-07,0.0039980411529541016,14,8866,17046.105949870107,120,77
6019.12286105625,2.2691158940320253e-06,0.003999948501586914,14,11945,20309.058065598452,117,76
6441.166692252704,1.763823816309438e-06,0.004000425338745117,14,11651,21107.898275567277,120,73
6184.395689939502,2.063595738525903e-06,0.004012107849121094,14,11503,20832.885842913016,117,74
5927.826168253765,2.017316920142033e-06,0.003998279571533203,14,11771,20392.18573342842,115,76
5988.241349207054,1.881265019189003e-06,0.003997802734375,14,11438,20350.99744220474,112,75
6053.184150943679,1.8304491980040639e-06,0.004002094268798828,14,11516,20351.425314219567,117,76
6170.9481069315525,1.9690840063212395e-06,0.003998994827270508,14,11558,20740.43745376768,118,75
6064.569079639896,2.1333239197172828e-06,0.004001617431640625,14,11637,20453.652061358272,120,76
6001.291248706138,2.0822462833042966e-06,0.0040013790130615234,14,11753,20025.48818752017,117,77
6148.422091548565,2.0255722419453944e-06,0.003997802734375,14,11647,20389.285556447052,119,76
6186.702237180074,2.318650585171971e-06,0.004001617431640625,14,11629,20715.278196767344,113,73
5639.910525640968,2.2280381263836514e-06,0.003998756408691406,14,11394,19940.06116454942,115,75
5944.156520192058,2.3076728895691974e-06,0.003998994827270508,14,11870,20518.711679874887,111,73
5869.246766381453,2.03084368610476e-06,0.004002809524536133,14,11451,20469.77192593844,116,73
5796.528334496722,2.1492760467164866e-06,0.00400233268737793,14,11706,20340.62544688387,115,74
5983.423907600479,2.0181000753273047e-06,0.005117177963256836,14,11552,20592.77478206928,114,73
5904.538097731946,2.311581795015433e-06,0.003998756408691406,14,11655,20248.434842048075,110,74
5827.056422688231,1.8262757842964747e-06,0.003999233245849609,14,11683,20445.188512692843,113,74
5840.159262939145,2.5260231769183386e-06,0.0039997100830078125,14,11762,20564.190789792476,113,73
5809.035696613309,2.4882389865865054e-06,0.004000663757324219,14,11774,20306.717217927377,109,73
5621.5122040488195,2.5934146233072276e-06,0.003999233245849609,14,11737,20594.86182346514,111,70
5626.177378288063,2.295845599117903e-06,0.008001327514648438,14,11910,20485.373911127543,109,71
5597.888232589888,2.2136450457309743e-06,0.004001617431640625,14,11671,20340.581146933004,108,71
5629.873436174787,2.5441175323945628e-06,0.007999658584594727,14,11891,20402.264391410117,110,71
5544.575510120664,2.0951859345846152e-06,0.00799703598022461,14,11772,20394.356446232334,107,71
