rmse_I,rmse_Beta,time_predict,roll_var,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
5230.65791861793,2.3956991089904195e-06,0.014002323150634766,32,8194,17692.629958072237,141,112
4988.561652543473,2.2983503471872496e-06,0.002998828887939453,22,8297,17058.987200888903,147,109
4874.384394076746,2.31110232540616e-06,0.0020024776458740234,25,8302,16922.36200660697,136,109
4959.188986630436,2.302670772265791e-06,0.003000020980834961,19,8129,16821.81808215239,153,108
4923.831837898055,2.267962277638652e-06,0.002992868423461914,14,8431,16560.411115175575,139,107
4886.7502685989075,2.270591349096428e-06,0.002000093460083008,22,8203,16806.00112310254,146,108
4944.619604702508,2.2546979246426188e-06,0.0029964447021484375,18,8329,16602.858950295755,143,107
5059.869319925019,2.3065972994025746e-06,0.004002094268798828,16,8337,16824.66610040256,141,108
5172.37093637523,2.3566846687280236e-06,0.0030007362365722656,21,8161,16956.688780306325,145,108
4971.1233284695045,2.3017774809706567e-06,0.0030007362365722656,23,8530,17242.632962755735,142,110
4533.6526757034235,2.231045809974729e-06,0.003997087478637695,24,8446,16469.15334732892,134,107
4712.097651498593,2.2551286809567488e-06,0.0040035247802734375,25,8347,16663.509826518653,141,108
4290.288882180165,2.1621722597305097e-06,0.0029993057250976562,14,8431,15959.810316532194,131,103
4384.198767707777,2.22169856077407e-06,0.003001689910888672,14,8596,16012.919160395362,140,104
4517.394672302398,2.192118685278026e-06,0.004001617431640625,16,8557,16128.808658112293,138,105
4475.33506617566,2.2099527160961243e-06,0.0029990673065185547,17,8524,16216.259835985678,138,105
4337.295377834572,2.1692044576621785e-06,0.0029997825622558594,18,8683,16284.291786743734,136,105
4269.645391569386,2.1344285421937836e-06,0.0029990673065185547,15,8448,15924.726314407966,140,103
4648.72103911408,2.204320586404271e-06,0.004000663757324219,14,8293,16329.722187589537,137,106
4570.250991919213,2.24581142178761e-06,0.0029990673065185547,23,8581,16471.61216441816,138,106
3907.8387882362717,2.094846774463077e-06,0.003998994827270508,15,8722,15607.827988095547,130,102
4028.590129526958,2.0804064952498336e-06,0.0029993057250976562,14,8700,15569.141126743702,127,101
4169.8883992799965,2.1713623157064664e-06,0.0029990673065185547,18,8616,15819.02582115952,137,103
4112.493052895228,2.1533084235753204e-06,0.004001140594482422,14,8625,15547.183473757324,134,101
4260.976641611359,2.1469476444044474e-06,0.0030014514923095703,14,8538,15699.6551938231,129,102
4130.982131067971,2.110424748285434e-06,0.0020003318786621094,14,8639,15749.548236033954,130,102
4211.116764388188,2.1328794992851145e-06,0.002999544143676758,14,8537,15562.7056666348,130,101
3858.039307335522,2.145420483581352e-06,0.003000020980834961,19,8725,15768.120701300688,127,103
3923.71315224432,2.1320375747985884e-06,0.015000581741333008,14,8623,15429.485569767528,128,100
4140.579941187553,2.128784448566987e-06,0.004000186920166016,14,8591,15542.387517263443,131,101
3958.7864692191365,2.1303308666141367e-06,0.0029990673065185547,20,8635,15562.306431124063,127,102
3968.889434749915,2.0801250073243607e-06,0.0029990673065185547,14,8571,15253.11182115537,132,99
4003.5819678520797,2.0558336968866844e-06,0.003003358840942383,14,8654,15265.346148582521,133,99
3647.6278572121278,2.0128142742878247e-06,0.0029997825622558594,15,8642,15072.62789355961,123,98
3956.7752711071403,2.10863358613026e-06,0.003002166748046875,17,8558,15460.761209753557,126,101
3916.084831566033,2.051057749296399e-06,0.00299835205078125,14,8565,15206.730363414277,124,99
3724.552740610024,2.03707953037672e-06,0.0029990673065185547,15,8554,15118.269532123879,128,98
4016.6898622275953,2.11042522940236e-06,0.003999233245849609,14,8491,15291.997307578491,126,100
3945.960336774478,2.023876320036747e-06,0.00299835205078125,14,8626,15300.33330212528,126,100
3753.397448747514,2.0675089842179366e-06,0.0020003318786621094,16,8649,15261.836532400906,123,99
3281.2431204146146,1.92968552246914e-06,0.0040013790130615234,15,8847,14799.31769541336,113,96
3667.1716506134276,2.0322240524772237e-06,0.00299835205078125,14,8732,14889.973971578926,126,97
3838.837612268322,2.077214535926392e-06,0.0029993057250976562,16,8508,15074.871452045747,128,98
3689.4802616251927,2.067164642693545e-06,0.0039997100830078125,14,8567,14903.175425828555,121,97
3573.253963314928,2.053532342816154e-06,0.002997159957885742,15,8523,14934.864671379273,121,97
3675.446463623454,2.0718717537101668e-06,0.0039997100830078125,14,8414,14891.912690406383,115,96
3650.8105324302937,2.0497928643391878e-06,0.003999948501586914,14,8622,14854.676641118205,121,96
3653.1308173923326,2.0201469216313337e-06,0.003998517990112305,14,8687,14880.594706717471,125,97
3589.974926728497,1.9856672539800756e-06,0.003999471664428711,14,8702,15008.142925433018,123,98
3491.121824279336,2.00679769390437e-06,0.003999471664428711,14,8709,14933.05089889852,125,97
3415.52590687773,1.948085467624345e-06,0.0030014514923095703,14,8494,14565.405410310796,118,94
3329.52263609469,2.0157464822107192e-06,0.0030007362365722656,14,8722,14529.654159993934,115,93
3485.256866797841,1.9888479173139595e-06,0.004000663757324219,14,8756,14666.236423918104,115,95
3261.9152622671286,1.9523289712811265e-06,0.004998445510864258,14,8778,14556.748250352288,115,93
3485.5574045375743,1.9911724570538684e-06,0.004000425338745117,14,8723,14559.169009372492,118,94
3346.5523891937055,1.984634796159035e-06,0.002999544143676758,14,8803,14512.889636324926,117,93
3419.116553028285,1.9801831311828202e-06,0.0029997825622558594,15,8550,14590.732811180782,118,94
3426.706715511861,2.0109625661648303e-06,0.003998994827270508,14,8554,14681.897220289891,113,95
3192.7532014570206,1.955809825759875e-06,0.005001068115234375,14,8841,14598.9009095832,113,94
3302.2868619926708,1.9652943117935007e-06,0.0040018558502197266,14,8866,14635.789436110223,120,94
2490.7281980523057,1.5401707668110564e-06,0.002999544143676758,14,11945,15937.990277185248,117,103
2619.1671028739297,1.399369288151175e-06,0.003999948501586914,14,11651,15812.954337668909,120,103
2526.5008556029375,1.4264405223590992e-06,0.0029993057250976562,14,11503,15906.604936827196,117,103
2413.2367944492985,1.3509576416725453e-06,0.0029997825622558594,14,11771,15957.240920121685,115,103
2517.352184355025,1.3432234367834633e-06,0.004001617431640625,14,11438,15889.63554810247,112,103
2604.6116608967272,1.3666762379833896e-06,0.004000186920166016,14,11516,16035.685164260633,117,104
2535.169331261218,1.4428698068617935e-06,0.0030007362365722656,14,11558,15954.968145434146,118,103
2572.3628824912967,1.4329611020776158e-06,0.00400090217590332,14,11637,16041.545292189008,120,104
2677.3395682919104,1.52862703968949e-06,0.0020008087158203125,14,11753,16089.275865292117,117,104
2645.425627531881,1.4394250470690589e-06,0.003997802734375,14,11647,16028.37068921222,119,104
2451.752351597536,1.5173639133587897e-06,0.003998994827270508,14,11629,15465.666368741824,113,100
2370.1420450244113,1.4453826485012539e-06,0.003998994827270508,14,11394,15565.18194929647,115,101
2271.2146775905726,1.6517219654437713e-06,0.003998517990112305,14,11870,15414.22485057214,111,100
2277.4196401068366,1.3334395859400125e-06,0.003999948501586914,14,11451,15357.877648697244,116,100
2214.25797666141,1.4894674629567784e-06,0.003000020980834961,14,11706,15431.855405297816,115,100
2334.982893867306,1.346340778136647e-06,0.004002571105957031,14,11552,15356.936700743652,114,99
2391.5440985250475,1.5166821964342575e-06,0.003000974655151367,14,11655,15423.021437520421,110,100
2218.1066406003424,1.2607816119968847e-06,0.004137992858886719,14,11683,15569.407426597298,113,101
2167.6743742877256,1.9621225163603513e-06,0.003998756408691406,14,11762,15434.25240681515,113,100
2196.312093425615,1.656689820405252e-06,0.002998828887939453,14,11774,15314.266090814514,109,99
1860.647303029891,1.7020273981485404e-06,0.0030019283294677734,14,11737,14908.594905547134,111,96
1902.2322381665367,1.3940190685701373e-06,0.002000570297241211,14,11910,14977.526951856495,109,97
1984.5413250136942,1.4405077847053532e-06,0.003000020980834961,14,11671,14962.957946258806,108,97
1921.121129367599,1.7341008114815617e-06,0.003000020980834961,14,11891,14962.81630149162,110,97
1898.1803068660138,1.3399201506809985e-06,0.0029997825622558594,14,11772,14946.442644018369,107,97
2134.1124859629103,1.4389271396085686e-06,0.003000020980834961,14,11359,15087.222086039408,116,98
1997.5177161586034,1.5644165663005855e-06,0.00400090217590332,14,11765,15002.648521060843,110,97
1917.6503388159376,1.7585067700555586e-06,0.002999544143676758,14,11954,14940.72401495897,104,97
2020.0385541234525,1.526723607422919e-06,0.003000020980834961,14,11604,14986.97026672167,108,97
1964.2214046325346,1.613012352054897e-06,0.003999948501586914,14,11844,14978.736255061534,106,97
1639.5755980905922,1.4233053154120749e-06,0.0030007362365722656,14,12014,14610.775560414302,102,93
1591.0605623066322,1.348690225084577e-06,0.003998279571533203,14,11910,14595.02603612729,100,93
1584.7216431065804,1.719531432745669e-06,0.004000425338745117,14,11969,14579.418572254313,104,93
1773.7781284604537,1.6917183525592204e-06,0.002998828887939453,14,11668,14681.302997552,104,94
1519.1607238385754,1.3262856017983905e-06,0.0040013790130615234,14,11801,14547.637353544535,99,93
1663.1028940817862,1.6001406064351514e-06,0.00400090217590332,14,11784,14718.078928451834,106,95
1695.6246624174657,1.5305953017851028e-06,0.0030012130737304688,14,11998,14647.20512812275,105,94
1697.217476035924,1.4918395142289524e-06,0.003000020980834961,14,11750,14673.118258258024,102,94
1784.5177261871308,1.4788700242278244e-06,0.004998922348022461,14,12011,14659.488088374022,104,94
1772.4805019176852,1.6627676258660852e-06,0.004003047943115234,14,11833,14778.304618144484,109,95
1478.3646380837495,1.8528230113914582e-06,0.003000497817993164,14,12083,14358.215441572465,99,91
1439.9533227182333,1.5269240910261951e-06,0.0039980411529541016,14,12116,14335.562973717482,101,91
