rmse_I,rmse_Beta,time_predict,roll_var,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
5527.5191971539,1.5805967353918314e-06,0.015623807907104492,32,8194,17633.725839259627,141,105
5416.118768353849,1.590789002297758e-06,0.0,22,8297,17151.757395108405,147,100
5311.279040774711,1.5520563273111097e-06,0.0,25,8302,17113.568558941217,136,100
5407.376328494258,1.5804821873792207e-06,0.0156252384185791,19,8129,16994.203027566968,153,98
5441.027031358546,1.5138994659221539e-06,0.015639066696166992,14,8431,16840.23988553258,139,97
5334.33391559758,1.5592124294767516e-06,0.01562786102294922,22,8203,17011.66231144129,146,99
5439.521689342498,1.5279294195788321e-06,0.0,18,8329,16865.568175402655,143,97
5535.129551697969,1.5193608646687608e-06,0.0,16,8337,16985.254344613288,141,98
5609.02681424127,1.5530784758737962e-06,0.0,21,8161,17100.016101020745,145,99
5389.054572860461,1.551134851638111e-06,0.0,23,8530,17275.687448899316,142,101
5038.508569684612,1.5545769901981696e-06,0.0,24,8446,16833.785342003524,134,98
5164.903493776547,1.6006580298554091e-06,0.015639305114746094,25,8347,16951.22399085193,141,99
4886.190935666623,1.4760745279093136e-06,0.0,14,8431,16509.044083657536,131,94
4999.452364110205,1.4857363144671614e-06,0.0,14,8596,16530.52436234662,140,94
5101.0932035808355,1.5641343809359665e-06,0.0,16,8557,16593.989988393867,138,95
5048.932104591491,1.5602785863281208e-06,0.0,17,8524,16651.17078291245,138,95
4919.709485759275,1.5620675807812852e-06,0.0,18,8683,16680.479694403854,136,96
4874.716628743494,1.552425053120063e-06,0.015624284744262695,15,8448,16486.889037047964,140,93
5180.716481430233,1.594640126472606e-06,0.0,14,8293,16698.571119854292,137,96
5077.937120886437,1.5712077641174497e-06,0.006514310836791992,23,8581,16833.82984348072,138,97
4575.867295607973,1.5141617805214474e-06,0.0,15,8722,16308.547646669347,130,92
4699.308864538982,1.525239034450534e-06,0.0,14,8700,16290.219374148912,127,92
4802.635791570872,1.4882106617018884e-06,0.015627622604370117,18,8616,16427.936698583486,137,93
4788.222291334082,1.4997925315959683e-06,0.0,14,8625,16277.776632352165,134,91
4896.096653971819,1.522980348138932e-06,0.00651240348815918,14,8538,16353.892944610148,129,92
4766.409340853718,1.561270358978567e-06,0.0,14,8639,16385.76379067165,130,93
4860.863693150318,1.4999663465382555e-06,0.0,14,8537,16288.936566211663,130,91
