rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
1939.702933406665,8.575468679121481e-07,0.0,25,8194,9346.544070252377,141,119
4699.76825991152,7.852275506384181e-07,0.010031461715698242,13,8297,14516.825374144824,147,95
2868.4210127303654,8.095022874078286e-07,0.0020151138305664062,19,8302,11223.51480180019,136,107
3644.333802230236,7.985197739097326e-07,0.0,16,8129,12495.326795197489,153,102
5652.10725368034,7.816904863848514e-07,0.010063886642456055,11,8431,16544.837346110224,139,88
3227.861106502559,8.245180168902941e-07,0.0,18,8203,11819.548743624102,146,105
4906.122541791524,7.631266386606913e-07,0.008029460906982422,14,8329,14919.560892662803,143,93
5697.065196308628,7.680871993413146e-07,0.0,10,8337,16518.971532229076,141,89
5752.061023858127,7.873018240200916e-07,0.00804281234741211,12,8161,16565.90490338637,145,89
2292.8132023647677,8.590491707004918e-07,0.0020105838775634766,21,8530,10242.820122225063,142,114
3716.353354074253,8.220077656619902e-07,0.0,17,8446,13137.45283816385,134,97
2630.9200758421653,9.189432529987843e-07,0.0020165443420410156,19,8347,10859.161709841766,141,107
5743.803178926573,8.341748166925567e-07,0.0,10,8431,17757.26473763263,131,81
5323.082009487843,7.723112250785298e-07,0.002015352249145508,11,8596,16481.374092469356,140,85
4189.278584572348,8.264656876211196e-07,0.0,13,8557,13981.408681098428,138,94
5682.922570663023,8.439384385761202e-07,0.009314298629760742,10,8524,17294.78838715543,138,83
3001.1095721136885,9.07995732104349e-07,0.0,18,8683,12060.904113221437,136,102
4195.58462519239,8.556138486739548e-07,0.002010345458984375,14,8448,14379.433485256111,140,92
5309.38274749836,8.493573482400064e-07,0.0,10,8293,16248.664201422424,137,88
2701.2727517457542,8.911261325953895e-07,0.010052919387817383,21,8581,11168.995812563824,138,105
4974.603538832493,8.398795261470508e-07,0.0,11,8722,16479.26083537262,130,83
5303.795459569135,8.649951740427806e-07,0.010040760040283203,10,8700,17000.089001321227,127,82
5501.714346630419,8.178160445434597e-07,0.0,10,8616,17255.77008101138,137,82
5640.624905240406,8.48720551352835e-07,0.00803065299987793,10,8625,17549.257642176293,134,80
5159.644880893086,8.214633070757363e-07,0.0020253658294677734,11,8538,16296.338491283681,129,84
5047.361666703421,8.711302159638254e-07,0.0,10,8639,16385.764794520783,130,85
4846.412070839154,8.064064108475653e-07,0.0020208358764648438,12,8537,15665.146858344568,130,86
5321.667454408278,8.465913407049748e-07,0.0,10,8725,17380.988820098246,127,80
5642.828481397807,8.660025080484618e-07,0.002010345458984375,10,8623,18030.59799796844,128,78
5722.957831336713,8.618289635931528e-07,0.0,10,8591,17682.513685256865,131,79
3912.9051640172506,8.281179284760771e-07,0.01006317138671875,13,8635,14056.185861171982,127,89
5540.185247387389,8.81017047262043e-07,0.0,10,8571,17536.971310253783,132,78
5411.232395705432,8.922827070096506e-07,0.008038997650146484,10,8654,17168.7912444315,133,80
4529.290048329844,9.582120882729416e-07,0.0,12,8642,15865.503709535951,123,82
5334.568944770859,8.511861673510952e-07,0.010040044784545898,10,8558,17120.0585538997,126,80
5359.825201983279,8.912510762595151e-07,0.002014636993408203,10,8565,17248.18554286372,124,79
4680.47625766649,8.93933607520431e-07,0.0,12,8554,15974.667626037199,128,82
5406.248087913364,8.729893330854865e-07,0.0020139217376708984,10,8491,17187.35425855378,126,80
5059.497364249632,9.823462065591538e-07,0.0,10,8626,16536.99817312395,126,81
5521.623948090351,8.909459198460527e-07,0.010045528411865234,10,8649,17885.244304270927,123,77
4137.363184498918,9.439555402503038e-07,0.0,14,8847,15565.993682122971,113,81
5356.9467292799,9.011756873159459e-07,0.00803232192993164,10,8732,17479.83588217792,126,76
5492.912622497256,8.668147069290308e-07,0.0020275115966796875,10,8508,17568.383515831516,128,77
5299.266023915206,8.37409418012308e-07,0.0,10,8567,17425.032775221247,121,77
5158.932884799106,8.653529014611694e-07,0.002020597457885742,10,8523,17388.08603727924,121,77
5278.999379864992,8.468012056008854e-07,0.0,10,8414,17492.365428245113,115,77
5246.210845476424,9.085218182099892e-07,0.00801396369934082,10,8622,17381.951878654752,121,77
5225.733130442575,8.969835250553687e-07,0.0,10,8687,17266.929503765245,125,77
5080.107426722321,9.607686559529238e-07,0.008038759231567383,10,8702,17152.064682245942,123,78
4880.761968943356,9.009594522444132e-07,0.002012491226196289,10,8709,16821.106068218207,125,79
4882.096914302523,9.557997122905004e-07,0.0,10,8494,16946.14343831592,118,76
5011.262671978988,8.423902150263287e-07,0.0020318031311035156,10,8722,17413.878038324263,115,75
4994.956858436913,8.982828776494165e-07,0.0,10,8756,16986.701973724947,115,77
5100.934914282188,9.411123733725013e-07,0.010043144226074219,10,8778,17757.96287390171,115,74
5318.400713697993,9.284459274065747e-07,0.0,10,8723,17726.608945645574,118,74
4758.048854054805,9.113573427243746e-07,0.008051633834838867,10,8803,16750.654878696776,117,76
5212.266397765721,9.283946253144945e-07,0.0,10,8550,17725.61540942596,118,74
5071.01971059162,9.059805833143445e-07,0.008028507232666016,10,8554,17307.227272901935,113,75
4886.9396758292,9.308285335270137e-07,0.0020170211791992188,10,8841,17374.11005404699,113,75
4869.176640089153,9.312826804418144e-07,0.0,10,8866,17024.578149352463,120,76
6353.992354219635,2.2268380049446995e-06,0.008025646209716797,10,11945,20902.474343403188,117,73
6529.036282493162,1.750152172535683e-06,0.0,10,11651,21216.351877754696,120,72
6562.859209699899,2.022522475535149e-06,0.010051250457763672,10,11503,21579.972420681708,117,71
6130.37867659504,1.9867588231993026e-06,0.0,10,11771,20770.27704441572,115,74
6043.126401049394,1.8691965503755727e-06,0.010036468505859375,10,11438,20369.58186623289,112,74
6065.553536814892,1.8159399728240773e-06,0.0,10,11516,20367.165881952104,117,75
5779.76481371361,1.994514940610745e-06,0.008031368255615234,10,11558,19829.368552005253,118,76
5877.127395362145,2.1403043521118297e-06,0.002010822296142578,10,11637,19985.571742476994,120,76
6181.710542542226,2.0581766643772482e-06,0.0,10,11753,20277.685270113532,117,75
6241.230715514826,2.0047817954537517e-06,0.0020186901092529297,10,11647,20541.591999482418,119,75
6318.271318898747,2.289622137095439e-06,0.00803065299987793,10,11629,20957.849689155377,113,71
5524.510525003924,2.2292032522584477e-06,0.0020182132720947266,10,11394,19616.74828999773,115,75
6051.237005634993,2.2850924630288087e-06,0.0,10,11870,20667.612198892948,111,72
5713.854150044188,2.0330395140970393e-06,0.0020210742950439453,10,11451,20121.50407386435,116,73
5714.968804920481,2.147157861425239e-06,0.0,10,11706,20079.789324034697,115,73
6062.4967183143,1.9972017607982398e-06,0.010039567947387695,10,11552,20738.07328486595,114,72
5649.759169577705,2.3229835750947795e-06,0.0,10,11655,19697.307831999184,110,74
5695.403558624769,1.828829699509538e-06,0.010084867477416992,10,11683,20101.688351500234,113,74
5862.455553025129,2.5086866629676554e-06,0.0,10,11762,20534.30840795056,113,72
6022.617825698733,2.453751926967876e-06,0.008015155792236328,10,11774,20651.749720065873,109,71
5441.243429022136,2.599688914182929e-06,0.0,10,11737,20171.511980411753,111,71
5789.7696434326335,2.267148770383421e-06,0.010039091110229492,10,11910,20733.623521212827,109,70
5628.334042636092,2.196827863327595e-06,0.002020120620727539,10,11671,20361.098000696787,108,71
5266.392126623819,2.5690526257481415e-06,0.0,10,11891,19618.60887934699,110,72
5631.509943076874,2.074479045092642e-06,0.010045289993286133,10,11772,20524.006880419984,107,70
5495.260577475067,2.1911271143278436e-06,0.0,10,11359,19847.410412884743,116,72
5617.227702664708,2.3201571082319503e-06,0.008018016815185547,10,11765,20220.875603617842,110,71
5419.232653859012,2.6085686360662346e-06,0.002015352249145508,10,11954,19923.07292018155,104,71
5693.023420802788,2.2919227033429216e-06,0.0,10,11604,20394.580814328296,108,70
5580.478221836418,2.341177085438777e-06,0.0020112991333007812,10,11844,20200.172884732132,106,71
5358.466738388904,2.156370068433129e-06,0.0,10,12014,20381.27093532487,102,69
5228.442153616382,2.102615816342445e-06,0.008031368255615234,10,11910,20247.33063592421,100,69
5379.650549150543,2.5453811659436455e-06,0.0,10,11969,20496.623867737006,104,68
5411.527123583031,2.570493485261496e-06,0.00802302360534668,10,11668,20222.653486538195,104,69
5474.909860179055,2.1357396042948363e-06,0.0020270347595214844,10,11801,20998.30191807717,99,67
5380.875879116879,2.511732378204708e-06,0.0,10,11784,20415.48247275198,106,69
