,beta,init_rec_frac
0,0.18,0.94
1,0.18,0.95
2,0.19,0.88
3,0.19,0.99
4,0.2,0.76
5,0.2,0.82
6,0.2,0.83
7,0.2,0.88
8,0.2,0.89
9,0.2,0.91
10,0.2,0.93
11,0.2,0.94
12,0.2,0.95
13,0.2,0.97
14,0.2,0.98
15,0.2,0.99
16,0.21,0.73
17,0.21,0.79
18,0.21,0.81
19,0.21,0.84
20,0.21,0.85
21,0.21,0.86
22,0.21,0.87
23,0.21,0.88
24,0.21,0.89
25,0.21,0.9
26,0.21,0.91
27,0.21,0.92
28,0.21,0.93
29,0.21,0.94
30,0.21,0.95
31,0.21,0.96
32,0.21,0.97
33,0.21,0.98
34,0.21,0.99
35,0.22,0.69
36,0.22,0.72
37,0.22,0.73
38,0.22,0.74
39,0.22,0.75
40,0.22,0.78
41,0.22,0.81
42,0.22,0.82
43,0.22,0.83
44,0.22,0.84
45,0.22,0.85
46,0.22,0.86
47,0.22,0.89
48,0.22,0.9
49,0.22,0.91
50,0.22,0.92
51,0.22,0.93
52,0.22,0.94
53,0.22,0.95
54,0.22,0.96
55,0.22,0.97
56,0.22,0.98
57,0.22,0.99
58,0.23,0.61
59,0.23,0.63
60,0.23,0.66
61,0.23,0.72
62,0.23,0.73
63,0.23,0.74
64,0.23,0.75
65,0.23,0.76
66,0.23,0.79
67,0.23,0.8
68,0.23,0.81
69,0.23,0.82
70,0.23,0.83
71,0.23,0.84
72,0.23,0.85
73,0.23,0.86
74,0.23,0.87
75,0.23,0.88
76,0.23,0.89
77,0.23,0.9
78,0.23,0.91
79,0.23,0.92
80,0.23,0.93
81,0.23,0.94
82,0.23,0.95
83,0.23,0.96
84,0.23,0.97
85,0.23,0.98
86,0.23,0.99
87,0.24,0.48
88,0.24,0.59
89,0.24,0.6
90,0.24,0.62
91,0.24,0.65
92,0.24,0.66
93,0.24,0.67
94,0.24,0.68
95,0.24,0.69
96,0.24,0.7
97,0.24,0.71
98,0.24,0.72
99,0.24,0.73
100,0.24,0.74
101,0.24,0.75
102,0.24,0.76
103,0.24,0.77
104,0.24,0.78
105,0.24,0.79
106,0.24,0.8
107,0.24,0.81
108,0.24,0.82
109,0.24,0.83
110,0.24,0.84
111,0.24,0.85
112,0.24,0.86
113,0.24,0.87
114,0.24,0.88
115,0.24,0.89
116,0.24,0.9
117,0.24,0.91
118,0.24,0.92
119,0.24,0.93
120,0.24,0.94
121,0.24,0.95
122,0.24,0.96
123,0.24,0.97
124,0.24,0.98
125,0.24,0.99
126,0.25,0.57
127,0.25,0.58
128,0.25,0.6
129,0.25,0.62
130,0.25,0.64
131,0.25,0.67
132,0.25,0.68
133,0.25,0.69
134,0.25,0.7
135,0.25,0.71
136,0.25,0.72
137,0.25,0.73
138,0.25,0.74
139,0.25,0.75
140,0.25,0.76
141,0.25,0.77
142,0.25,0.78
143,0.25,0.79
144,0.25,0.8
145,0.25,0.81
146,0.25,0.82
147,0.25,0.83
148,0.25,0.84
149,0.25,0.85
150,0.25,0.86
151,0.25,0.87
152,0.25,0.88
153,0.25,0.89
154,0.25,0.9
155,0.25,0.91
156,0.25,0.92
157,0.25,0.93
158,0.25,0.94
159,0.25,0.95
160,0.25,0.96
161,0.25,0.97
162,0.25,0.98
163,0.25,0.99
164,0.26,0.57
165,0.26,0.59
166,0.26,0.6
167,0.26,0.61
168,0.26,0.62
169,0.26,0.64
170,0.26,0.65
171,0.26,0.66
172,0.26,0.67
173,0.26,0.68
174,0.26,0.69
175,0.26,0.7
176,0.26,0.71
177,0.26,0.72
178,0.26,0.73
179,0.26,0.74
180,0.26,0.75
181,0.26,0.76
182,0.26,0.77
183,0.26,0.78
184,0.26,0.79
185,0.26,0.8
186,0.26,0.81
187,0.26,0.82
188,0.26,0.83
189,0.26,0.84
190,0.26,0.85
191,0.26,0.86
192,0.26,0.87
193,0.26,0.88
194,0.26,0.89
195,0.26,0.9
196,0.26,0.91
197,0.26,0.92
198,0.26,0.93
199,0.26,0.94
200,0.26,0.95
201,0.26,0.96
202,0.26,0.97
203,0.26,0.98
204,0.26,0.99
