,0
0,3.008027099176236e-06
1,1.5700312436217482e-06
2,1.6422626437800943e-06
3,1.810244503746332e-06
4,2.3155384205712434e-06
5,2.532446976891421e-06
6,2.7478868749931305e-06
7,2.924900260901103e-06
8,3.176650349272706e-06
9,3.268999424656101e-06
10,3.33555703802535e-06
11,3.050715087616537e-06
12,3.3232251900469404e-06
13,3.34608190539288e-06
14,3.4736333857851974e-06
15,3.530362886001052e-06
16,3.5161125859250014e-06
17,3.5733620160780535e-06
18,3.6255923315760246e-06
19,3.766688351399424e-06
20,3.968661616188598e-06
21,3.912126128022527e-06
22,4.018176104040269e-06
23,4.189678475694419e-06
24,4.351704780347701e-06
25,4.316111065804565e-06
26,4.446746919715975e-06
27,4.511973741216351e-06
28,4.6664010037809824e-06
29,4.814358342320136e-06
30,4.909761850364861e-06
31,4.8829478364266714e-06
32,4.9313577279248435e-06
33,5.020987728705991e-06
34,5.046841365598605e-06
35,5.167430730841408e-06
36,5.232129584461191e-06
37,5.2542211100815855e-06
38,5.205461033179419e-06
39,5.319217419808416e-06
40,5.401817753629962e-06
41,5.369723351852912e-06
42,5.442887794664352e-06
43,5.395740750209337e-06
44,5.468130033071558e-06
45,5.382153868251743e-06
46,5.435350381593945e-06
47,5.450838884104263e-06
48,5.474240702157099e-06
49,5.471523399866248e-06
50,5.4997086809829785e-06
51,5.449888277290315e-06
52,5.508941303646797e-06
53,5.570409982174688e-06
54,5.53090889174859e-06
55,5.560212855173775e-06
56,5.600752900747386e-06
57,5.588057597753206e-06
58,5.565991872752691e-06
59,5.60923696298752e-06
60,5.654544341995339e-06
61,5.6326145108691155e-06
62,5.6911886142113705e-06
63,5.680140433119061e-06
64,5.681089303058625e-06
65,5.687669109690525e-06
66,5.682941968902505e-06
67,5.78250464732613e-06
68,5.7719577040463495e-06
69,5.771535961884343e-06
70,5.8186489725529734e-06
71,5.838337751957135e-06
72,5.9101711585755694e-06
73,5.9590963329342825e-06
74,5.944428510073577e-06
75,5.9512918678561465e-06
76,6.0094007086785946e-06
77,6.038942258379495e-06
78,6.072691824431932e-06
79,6.123251307279363e-06
80,6.124459212678594e-06
81,6.187340289278783e-06
82,6.1982839977790855e-06
83,6.23906075124977e-06
84,6.282616997681955e-06
85,6.31042380056658e-06
86,6.348849200704975e-06
87,6.40968132512839e-06
88,6.485893104354738e-06
89,6.522705822564251e-06
90,6.551253362147375e-06
91,6.649434556265097e-06
92,6.774140798715677e-06
93,6.705873674751715e-06
94,6.85649295956019e-06
95,6.843491343914908e-06
96,6.8933967525834575e-06
97,7.022460582988618e-06
98,7.056786592021803e-06
99,7.102465873955486e-06
100,7.25832044253543e-06
101,7.292440719581554e-06
102,7.377813281568705e-06
103,7.334535362499666e-06
104,7.531788681935811e-06
105,7.509771538024771e-06
106,7.648697154461739e-06
107,7.692847859287444e-06
108,7.734774540199797e-06
109,7.903023547700738e-06
110,7.92935782180182e-06
111,7.982966832369404e-06
112,8.069326315727647e-06
113,8.220756021400945e-06
114,8.278390386782469e-06
115,8.364942582031576e-06
116,8.4920234687232e-06
117,8.4856696431556e-06
118,8.622926544201002e-06
119,8.748847154087997e-06
120,8.79355848699884e-06
121,8.87503938750811e-06
122,8.965328487315165e-06
123,9.104150225079778e-06
124,9.08306043150898e-06
125,9.302341149393521e-06
126,9.3126896402254e-06
127,9.46396123561478e-06
128,9.46275325504297e-06
129,9.662860860303545e-06
130,9.861061941130125e-06
131,9.615207199767416e-06
132,9.939277874711762e-06
133,9.857436901737169e-06
134,1.0097253727728686e-05
135,1.0106480820087922e-05
136,1.0142711217690995e-05
137,1.0231960221100545e-05
138,1.0151019101426299e-05
139,1.01074813576425e-05
140,1.023681332096044e-05
141,1.036679298380569e-05
142,1.0482635897147444e-05
143,1.0380286908652607e-05
144,1.0483879159900847e-05
145,1.0629558498651184e-05
146,1.0761895975705249e-05
147,1.061333629848893e-05
148,1.0610115615804372e-05
149,0.0
