,median_beta
0,4.824120603015075e-06
1,4.513685720272992e-06
2,4.281176144802158e-06
3,3.972652240054615e-06
4,3.7003389408518197e-06
5,3.4589521809453184e-06
6,3.256487921428695e-06
7,3.1110713876799644e-06
8,2.945187608208806e-06
9,2.7980946592691296e-06
10,2.6766680491650856e-06
11,2.5644678667338963e-06
12,2.4550504329102625e-06
13,2.3646377380668856e-06
14,2.3160633916863944e-06
15,2.2300294763808307e-06
16,2.1761247237629685e-06
17,2.1188183348716458e-06
18,2.0672770793290038e-06
19,2.0219716445484737e-06
20,1.975532595631751e-06
21,1.9642693351737784e-06
22,1.92827865989521e-06
23,1.8985442873182717e-06
24,1.893596286616146e-06
25,1.8712636867666956e-06
26,1.8654171521628873e-06
27,1.848091038668112e-06
28,1.8559963756434047e-06
29,1.8367899290874834e-06
30,1.84706731325889e-06
31,1.8398915562682645e-06
32,1.8313331384634078e-06
33,1.8462900221721281e-06
34,1.8446832196385312e-06
35,1.8580784626635898e-06
36,1.8432584080693082e-06
37,1.8537187671521385e-06
38,1.8645638527772271e-06
39,1.8742922682345908e-06
40,1.8580410055624915e-06
41,1.8818648172346386e-06
42,1.8908299757229021e-06
43,1.8850160148069344e-06
44,1.8957795502683704e-06
45,1.8989178566993465e-06
46,1.908061971022478e-06
47,1.918120595696021e-06
48,1.930954194836469e-06
49,1.92461036832745e-06
50,1.9407758289311815e-06
51,1.9469131657739282e-06
52,1.9635991394074424e-06
53,1.9651944019042125e-06
54,1.9852403303144238e-06
55,1.9950964043300462e-06
56,1.9908137892876244e-06
57,2.015002289040597e-06
58,2.015290143581341e-06
59,2.0266348265411826e-06
60,2.0433480397226918e-06
61,2.0586485436073867e-06
62,2.0744471983670557e-06
63,2.0861359416785937e-06
64,2.093045947934191e-06
65,2.1055695280104577e-06
66,2.1216555743908857e-06
67,2.138721597273914e-06
68,2.1594450519560436e-06
69,2.174861461343409e-06
70,2.188442223700628e-06
71,2.204461957383149e-06
72,2.2290196540685073e-06
73,2.2387339729963134e-06
74,2.2558165863327364e-06
75,2.2902808385209228e-06
76,2.3051490243808863e-06
77,2.3200977099795132e-06
78,2.3414851750388158e-06
79,2.362496766384439e-06
80,2.38212318856696e-06
81,2.4274257745936858e-06
82,2.467013228161435e-06
83,2.492459724841231e-06
84,2.5117983442867547e-06
85,2.547590036995201e-06
86,2.5525421501602564e-06
87,2.6041592682575535e-06
88,2.629479561662755e-06
89,2.6804288793383956e-06
90,2.7181441983157043e-06
91,2.755051515666289e-06
92,2.763261739697927e-06
93,2.811407618316582e-06
94,2.883085238458037e-06
95,2.9048735577803787e-06
96,2.9454094397775464e-06
97,3.0039051157190575e-06
98,3.023343541347261e-06
99,3.067964061066579e-06
100,3.1727945911689427e-06
101,3.1736144405971704e-06
102,3.196977328423109e-06
103,3.289043852109206e-06
104,3.327702072923828e-06
105,3.38010329187512e-06
106,3.4574846273704115e-06
107,3.4943764326511668e-06
108,3.56621814550393e-06
109,3.642413367140312e-06
110,3.7202363139582783e-06
111,3.759455529399029e-06
112,3.824233354950436e-06
113,3.88021262933633e-06
114,3.934773033694145e-06
115,3.9699511668826195e-06
116,4.112988365185446e-06
117,4.11284344581547e-06
118,4.17445068190248e-06
119,4.330342483052115e-06
120,4.311469409513687e-06
121,4.4793016081583235e-06
122,4.449481934711571e-06
123,4.54113966755221e-06
124,4.620056040026171e-06
125,4.64883463865609e-06
126,4.705832924859951e-06
127,4.895129887693603e-06
128,4.806455637253176e-06
129,4.90769858584448e-06
130,4.980022019539329e-06
131,4.9741141140357834e-06
132,5.120918043100214e-06
133,5.186790199619394e-06
134,5.184391733169848e-06
135,5.188440484813456e-06
136,5.202875781662255e-06
137,5.286649013709073e-06
138,5.360671833612571e-06
139,5.384159801862919e-06
140,5.462257120439843e-06
141,5.308353756346718e-06
142,5.502634632285329e-06
143,5.388410832861138e-06
144,5.40206488528175e-06
145,5.5547307621999565e-06
146,5.658805999739305e-06
147,5.42526611533103e-06
148,5.441817212389301e-06
149,5.44932275261148e-06
150,5.51930530343914e-06
151,5.485644069470197e-06
152,5.599949184337374e-06
153,5.5382149737737356e-06
154,5.23735702015335e-06
155,5.426053739636237e-06
156,5.410219004775216e-06
157,5.483139402613456e-06
158,5.569948476673002e-06
159,5.627538019646861e-06
160,5.348235498259447e-06
161,5.37463925777201e-06
162,5.513479166630761e-06
163,5.458600851429761e-06
164,5.441976096013986e-06
165,5.522604429441672e-06
166,5.427754881100494e-06
167,5.561156239704791e-06
168,5.493102802147138e-06
169,5.407302898694327e-06
170,5.647854733908896e-06
171,5.554806820210026e-06
172,5.616281600359442e-06
173,5.54174681629409e-06
174,5.493750858398571e-06
175,5.497627404017503e-06
176,5.576469834287375e-06
177,5.6601607162205655e-06
178,5.5730252671400435e-06
179,5.589918846146604e-06
180,5.719080281589453e-06
181,5.764523031862784e-06
182,5.841165237578163e-06
183,5.599718809769838e-06
184,5.788282008958332e-06
185,5.626503813964936e-06
186,5.7033910733782e-06
187,5.60866336578132e-06
188,5.8122290118207354e-06
189,5.726011195789792e-06
190,5.749460772063754e-06
191,6.019526684768396e-06
192,5.845842226061307e-06
193,5.641884568108508e-06
194,5.785898527037738e-06
195,5.655255617553913e-06
196,5.874581657071185e-06
197,5.783108067918296e-06
198,5.585142849802383e-06
199,5.688669521433508e-06
200,5.7142857142857145e-06
201,5.946500187314756e-06
202,5.671866212188099e-06
203,5.762566562346868e-06
204,5.73764255235287e-06
205,5.884027293060599e-06
206,5.586982331168378e-06
207,5.759885364698087e-06
208,5.595422944031782e-06
209,5.403091858595584e-06
210,5.79869078068775e-06
211,5.690127060537261e-06
212,5.687861913586243e-06
213,5.656883388920087e-06
214,5.899418980398357e-06
215,5.558003374884442e-06
216,5.768552488883176e-06
217,5.654775109593891e-06
218,5.9100502176967e-06
219,5.682583927171075e-06
220,5.639521768554027e-06
221,5.841320010875476e-06
222,5.406776096210336e-06
223,5.465080493727201e-06
224,5.523905622231143e-06
225,5.351718458555508e-06
226,5.450461027426805e-06
227,5.489366000184443e-06
228,5.7069753506222985e-06
229,5.852995544292732e-06
